archivo,fuente_declarada,entidad,enlace_portal,extension,tamano_mb,carpeta_anio,n_filas,n_columnas,crs_epsg,tipo_geometria,columnas
cestas.geojson,Cestas,UAESP,https://datosabiertos.bogota.gov.co/dataset/cestas-bogota-d-c,.geojson,50.594,,101162.0,17,EPSG:3857,Point,IDSEQ;CODINTERNO;IDLOCALID;DIRECCION;CAPACIDAD;APROVECHAB;FECVIGDES;ORIGEN;TIPOCESTA;SERIAL;ESTADO;TIPOEMPLAZ;FECHAINSTA;NOMLOCALID;NOMTIPOCES;NOMESTADOE;NOMTIPOEMP
contenerizacion.geojson,Contenerización,UAESP,https://datosabiertos.bogota.gov.co/dataset/contenerizacion-bogota-d-c,.geojson,3.578,,11167.0,9,EPSG:3857,Point,CODINTERNO;DIRECCION;CAPACIDAD;APROVECHAB;FECVIGDES;SERIAL;FECHAINSTA;CONCESIONA;IDLOCALID_
puntos_criticos_arrojo_clandestino_residuos.geojson,Puntos críticos de arrojo clandestino,UAESP,https://datosabiertos.bogota.gov.co/dataset/puntos-criticos-arrojo-clandestino-residuos-bogota-d-c,.geojson,0.134,,478.0,6,EPSG:4326,Point,GmlID;OBJECTID;Nombre_Localidad;Frecuencia;Dirección;Observación
cuadrantepolicia.geojson,Cuadrantes de policía,MEBOG,https://datosabiertos.bogota.gov.co/dataset/cuadrantes-de-policia-bogota-d-c,.geojson,1.13,,599.0,17,EPSG:4686,Polygon,PCUNCUADRA;PCUCOSEC;PCUNOMEST;PCUNOMCAI;PCUCODIGO;PCUTELEFON;PCUCOD_ENT;PCUDESCRIP;PCUIULOCAL;PCUFECHA_C;PCUIEPOLIC;PCUIUUPLOC;PCUIUUPLAN;PCUIUSCATA;PCUIUPCUAD;Shape_Leng;Shape_Area
incidentes-atendidos-por-uaecob-2018.csv,Incidente atendido por bomberos,UAECOB,https://datosabiertos.bogota.gov.co/dataset/incidente-atendido-por-bomberos,.csv,7.771,,,35,,,FECHA DEL EVENTO;NUMERO SERVICIO;ESTACION;BARRIO;ESTRATO;UPZ;LOCALIDAD;Hora reporte;Tiempo de Respuesta;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TITULO;USO;CLASE DE USO;SUBCLASE DE USO;CLASE DE VEHICULO;SUBTIPO CLASE DE VEHICULO;ORIGEN DE LA CAUSA;CAUSAS;HOMBRES EXPUESTOS;MUJERES EXPUESTAS;MENORES EXPUESTOS;HOMBRES AFECTADOS;MUJERES AFECTADAS;MENORES AFECTADOS;HOMBRES RESCATADOS;MUJERES RESCATADAS;MENORES RESCATADOS;HOMBRES HERIDOS;MUJERES HERIDAS;MENORES HERIDOS;HOMBRES SIN SIGNOS;MUJERES SIN SIGNOS;MENORES SIN SIGNOS
incidentes-atendidos-por-uaecob-corte-31-agosto-2020.csv,Incidente atendido por bomberos,UAECOB,https://datosabiertos.bogota.gov.co/dataset/incidente-atendido-por-bomberos,.csv,4.99,,,42,,,FECHA DEL EVENTO;NMERO SERVICIO;ESTACIN;LATITUD;LONGITUD;BARRIO;ESTRATO;UPZ;LOCALIDAD;Hora reporte;Tiempo de Respuesta;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TITULO;USO;CLASE DE USO;SUBCLASE DE USO;CLASE DE VEHICULO;SUBTIPO CLASE DE VEHICULO;ORIGEN DE LA CAUSA;CAUSAS;HOMBRES EXPUESTOS;MUJERES EXPUESTAS;MENORES NIAS EXPUESTAS;MENORES NIOS EXPUESTOS;HOMBRES AFECTADOS;MUJERES AFECTADAS;MENORES NIAS AFECTADAS;MENORES NIOS AFECTADOS;HOMBRES RESCATADOS;MUJERES RESCATADAS;MENORES NIAS RESCATADAS;MENORES NIOS RESCATADOS;HOMBRES HERIDOS;MUJERES HERIDAS;MENORES NIAS HERIDAS;MENORES NIOS HERIDOS;HOMBRES SIN SIGNOS;MUJERES SIN SIGNOS;MENORES NIAS SIN SIGNOS;MENORES NIOS SIN SIGNOS
DAILoc.geojson,Delito de alto impacto,"Secretaría Distrital de Seguridad, Convivencia y Justicia",https://datosabiertos.bogota.gov.co/dataset/delito-de-alto-impacto-bogota-d-c,.geojson,2.239,,21.0,126,EPSG:4686,Polygon,CMIULOCAL;CMNOMLOCAL;CMMES;CMH18CONT;CMH19CONT;CMH20CONT;CMHVAR;CMHTOTAL;CMLP18CONT;CMLP19CONT;CMLP20CONT;CMLPVAR;CMLPTOTAL;CMHP18CONT;CMHP19CONT;CMHP20CONT;CMHPVAR;CMHPTOTAL;CMHR18CONT;CMHR19CONT;CMHR20CONT;CMHRVAR;CMHRTOTAL;CMHA18CONT;CMHA19CONT;CMHA20CONT;CMHAVAR;CMHATOTAL;CMHB18CONT;CMHB19CONT;CMHB20CONT;CMHBVAR;CMHBTOTAL;CMHC18CONT;CMHC19CONT;CMHC20CONT;CMHCVAR;CMHCTOTAL;CMHCE18CON;CMHCE19CON;CMHCE20CON;CMHCEVAR;CMHCETOTAL;CMHM18CONT;CMHM19CONT;CMHM20CONT;CMHMVAR;CMHMTOTAL;CMDS18CONT;CMDS19CONT;CMDS20CONT;CMDSVAR;CMDSTOTAL;CMVI18CONT;CMVI19CONT;CMVI20CONT;CMVIVAR;CMVITOTAL;CMH21CONT;CMLP21CONT;CMHP21CONT;CMHR21CONT;CMHA21CONT;CMHB21CONT;CMHCE21CON;CMHM21CONT;CMHC21CONT;CMDS21CONT;CMVI21CONT;CMH22CONT;CMLP22CONT;CMHP22CONT;CMHA22CONT;CMHB22CONT;CMHCE22CON;CMHM22CONT;CMHC22CONT;CMDS22CONT;CMVI22CONT;CMHR22CONT;CMH23CONT;CMLP23CONT;CMHP23CONT;CMHR23CONT;CMHA23CONT;CMHB23CONT;CMHCE23CON;CMHM23CONT;CMHC23CONT;CMDS23CONT;CMVI23CONT;CMH24CONT;CMLP24CONT;CMHP24CONT;CMHR24CONT;CMHA24CONT;CMHB24CONT;CMHCE24CON;CMHM24CONT;CMHC24CONT;CMDS24CONT;CMVI24CONT;CMH25CONT;CMLP25CONT;CMHP25CONT;CMHR25CONT;CMHA25CONT;CMHB25CONT;CMHCE25CON;CMHM25CONT;CMHC25CONT;CMDS25CONT;CMVI25CONT;CMH26CONT;CMLP26CONT;CMHP26CONT;CMHR26CONT;CMHA26CONT;CMHB26CONT;CMHC26CONT;CMHCE26CON;CMHM26CONT;CMDS26CONT;CMVI26CONT;SHAPE_AREA;SHAPE_LEN
incidentes-atendidos-por-uaecob-2017-1.csv,Incidente atendido por bomberos,UAECOB,https://datosabiertos.bogota.gov.co/dataset/incidente-atendido-por-bomberos,.csv,6.419,,,33,,,FECHA DEL EVENTO;ESTACION;BARRIO;ESTRATO;UPZ;LOCALIDAD;Tiempo de Respuesta;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TITULO;USO;CLASE DE USO;SUBCLASE DE USO;CLASE DE VEHICULO;SUBTIPO CLASE DE VEHICULO;ORIGEN DE LA CAUSA;CAUSAS;POBLA. EXPU.HOMBRES;POBLA. EXPU.MUJERES;POBLA. EXPU.MENORES;POBLA. AFEC.HOMBRES;POBLA. AFEC.MUJERES;POBLA. AFEC.MENORES;RESCA.HOMBRES;RESCA.MUJERES;RESCA.MENORES;HERIDOS HOMBRES;HERIDOS MUJERES;HERIDOS MENORES;SIN SIGNOSHOMBRES;SIN SIGNOSMUJERES;SIN SIGNOSMENORES
ebom.geojson,Estación de bomberos,UAECOB,https://datosabiertos.bogota.gov.co/dataset/estacion-de-bomberos-para-bogota,.geojson,0.005,,17.0,5,EPSG:4686,Point,OBJECTID;EBONOMBRE;EBODIRECCI;EBOTELEFON;EBOJEFE
incidentes-atendidos-por-uaecob-2019.csv,Incidente atendido por bomberos,UAECOB,https://datosabiertos.bogota.gov.co/dataset/incidente-atendido-por-bomberos,.csv,9.528,,,42,,,FECHA DEL EVENTO;NMERO SERVICIO;ESTACIN;LATITUD;LONGITUD;BARRIO;ESTRATO;UPZ;LOCALIDAD;Hora reporte;Tiempo de Respuesta;SERVICIO;CLASE DE SERVICIO;SUBCLASE DE SERVICIO;TITULO;USO;CLASE DE USO;SUBCLASE DE USO;CLASE DE VEHICULO;SUBTIPO CLASE DE VEHICULO;ORIGEN DE LA CAUSA;CAUSAS;HOMBRES EXPUESTOS;MUJERES EXPUESTAS;MENORES NIAS EXPUESTAS;MENORES NIOS EXPUESTOS;HOMBRES AFECTADOS;MUJERES AFECTADAS;MENORES NIAS AFECTADAS;MENORES NIOS AFECTADOS;HOMBRES RESCATADOS;MUJERES RESCATADAS;MENORES NIAS RESCATADAS;MENORES NIOS RESCATADOS;HOMBRES HERIDOS;MUJERES HERIDAS;MENORES NIAS HERIDAS;MENORES NIOS HERIDOS;HOMBRES SIN SIGNOS;MUJERES SIN SIGNOS;MENORES NIAS SIN SIGNOS;MENORES NIOS SIN SIGNOS
