fuente,chequeo,resultado,severidad
IRUPZ.geojson,n_registros,117,info
IRUPZ.geojson,tipo_geometria,"['Polygon', 'MultiPolygon', nan]",info
IRUPZ.geojson,crs,EPSG:4686,info
IRUPZ.geojson,geometrias_invalidas,1/117 (0.9%),warning
IRUPZ.geojson,geometrias_nulas,1,warning
IRUPZ.geojson,filas_duplicadas_por_atributos,0,ok
IRUPZ.geojson,registros_fuera_de_bogota_bbox,1/117,warning
IRLoc.geojson,n_registros,21,info
IRLoc.geojson,tipo_geometria,"['Polygon', nan]",info
IRLoc.geojson,crs,EPSG:4686,info
IRLoc.geojson,geometrias_invalidas,1/21 (4.8%),warning
IRLoc.geojson,geometrias_nulas,1,warning
IRLoc.geojson,filas_duplicadas_por_atributos,0,ok
IRLoc.geojson,registros_fuera_de_bogota_bbox,1/21,warning
DAILoc.geojson,n_registros,21,info
DAILoc.geojson,tipo_geometria,"['Polygon', nan]",info
DAILoc.geojson,crs,EPSG:4686,info
DAILoc.geojson,geometrias_invalidas,1/21 (4.8%),warning
DAILoc.geojson,geometrias_nulas,1,warning
DAILoc.geojson,filas_duplicadas_por_atributos,0,ok
DAILoc.geojson,registros_fuera_de_bogota_bbox,1/21,warning
cestas.geojson,n_registros,101162,info
cestas.geojson,tipo_geometria,['Point'],info
cestas.geojson,crs,EPSG:3857,info
cestas.geojson,geometrias_invalidas,0/101162 (0.0%),ok
cestas.geojson,geometrias_nulas,0,ok
cestas.geojson,filas_duplicadas_por_atributos,0,ok
cestas.geojson,columnas_con_mas_nulos,{'SERIAL': '100.0%'},info
cestas.geojson,registros_fuera_de_bogota_bbox,0/101162,ok
contenerizacion.geojson,n_registros,11167,info
contenerizacion.geojson,tipo_geometria,['Point'],info
contenerizacion.geojson,crs,EPSG:3857,info
contenerizacion.geojson,geometrias_invalidas,0/11167 (0.0%),ok
contenerizacion.geojson,geometrias_nulas,0,ok
contenerizacion.geojson,filas_duplicadas_por_atributos,1,warning
contenerizacion.geojson,columnas_con_mas_nulos,"{'SERIAL': '100.0%', 'FECHAINSTA': '54.2%'}",info
contenerizacion.geojson,registros_fuera_de_bogota_bbox,0/11167,ok
puntos_criticos_arrojo_clandestino_residuos.geojson,n_registros,478,info
puntos_criticos_arrojo_clandestino_residuos.geojson,tipo_geometria,['Point'],info
puntos_criticos_arrojo_clandestino_residuos.geojson,crs,EPSG:4326,info
puntos_criticos_arrojo_clandestino_residuos.geojson,geometrias_invalidas,0/478 (0.0%),ok
puntos_criticos_arrojo_clandestino_residuos.geojson,geometrias_nulas,0,ok
puntos_criticos_arrojo_clandestino_residuos.geojson,filas_duplicadas_por_atributos,0,ok
puntos_criticos_arrojo_clandestino_residuos.geojson,registros_fuera_de_bogota_bbox,0/478,ok
macrorutas_de_barrido.geojson,n_registros,179,info
macrorutas_de_barrido.geojson,tipo_geometria,['MultiPolygon'],info
macrorutas_de_barrido.geojson,crs,EPSG:4326,info
macrorutas_de_barrido.geojson,geometrias_invalidas,161/179 (89.9%),warning
macrorutas_de_barrido.geojson,geometrias_nulas,0,ok
macrorutas_de_barrido.geojson,filas_duplicadas_por_atributos,0,ok
macrorutas_de_barrido.geojson,registros_fuera_de_bogota_bbox,1/179,warning
ebom.geojson,n_registros,17,info
ebom.geojson,tipo_geometria,['Point'],info
ebom.geojson,crs,EPSG:4686,info
ebom.geojson,geometrias_invalidas,0/17 (0.0%),ok
ebom.geojson,geometrias_nulas,0,ok
ebom.geojson,filas_duplicadas_por_atributos,0,ok
ebom.geojson,registros_fuera_de_bogota_bbox,0/17,ok
cuadrantepolicia.geojson,n_registros,599,info
cuadrantepolicia.geojson,tipo_geometria,['Polygon'],info
cuadrantepolicia.geojson,crs,EPSG:4686,info
cuadrantepolicia.geojson,geometrias_invalidas,0/599 (0.0%),ok
cuadrantepolicia.geojson,geometrias_nulas,0,ok
cuadrantepolicia.geojson,filas_duplicadas_por_atributos,0,ok
cuadrantepolicia.geojson,registros_fuera_de_bogota_bbox,0/599,ok
RBL,esquema_2017,"{'archivo_muestra': 'data_set_noviembre_2017_rbl.csv', 'n_archivos_anio': 1, 'columnas_muestra': ['Ao/Mes Formato (dd-mmm-yy)', 'Operador y Zona', 'Residuos Recogidos Domiciliarios (t/mes)', 'Residuos de Recogidos de Barrido (t/mes)', 'Residuos de Recogidos de Corte Csped (t/mes)', 'Residuos de Recogidos de Grandes Generadores (t/mes)', 'Residuos Mixtos Recogidos - (Ordinarios y Escombros) (t/mes)', 'Residuos de Recogidos de Poda rboles (t/mes)', 'Total Residuos Recogidos (t/mes)']}",info
