unidad,var_x,var_y,pearson_r,pearson_p,spearman_rho,spearman_p,n,spearman_p_fdr,sig_tras_fdr
UPZ,estrato_promedio_oficial,estrato_promedio_reportado,0.894,0.0,0.916,0.0,112,0.0,True
UPZ,estrato_promedio_oficial,deficit_aseo_relativo,-0.491,0.0,-0.576,0.0,112,0.0,True
UPZ,estrato_promedio_oficial,densidad_cestas_km2,0.504,0.0,0.594,0.0,112,0.0,True
UPZ,estrato_promedio_oficial,densidad_contenedores_km2,0.038,0.69362,0.127,0.18138,112,0.24761,False
UPZ,estrato_promedio_oficial,densidad_puntos_criticos_km2,-0.293,0.00174,-0.311,0.00085,112,0.00225,True
UPZ,estrato_promedio_oficial,densidad_cuadrantes_km2,-0.091,0.34161,-0.109,0.25339,112,0.32579,False
UPZ,estrato_promedio_oficial,densidad_incidentes_km2,0.006,0.94995,0.087,0.36439,112,0.42045,False
UPZ,estrato_promedio_oficial,dist_estacion_bomberos_m,0.149,0.11568,-0.011,0.91244,112,0.91244,False
UPZ,estrato_promedio_oficial,cobertura_macrorutas_pct,0.112,0.24087,0.127,0.18158,112,0.24761,False
UPZ,estrato_promedio_reportado,deficit_aseo_relativo,-0.451,0.0,-0.49,0.0,112,0.0,True
UPZ,estrato_promedio_reportado,densidad_cestas_km2,0.458,0.0,0.508,0.0,112,0.0,True
UPZ,estrato_promedio_reportado,densidad_contenedores_km2,0.056,0.55871,0.093,0.32836,112,0.38885,False
UPZ,estrato_promedio_reportado,densidad_puntos_criticos_km2,-0.322,0.00053,-0.35,0.00015,112,0.00056,True
UPZ,estrato_promedio_reportado,densidad_cuadrantes_km2,-0.13,0.17343,-0.186,0.04927,112,0.07391,False
UPZ,estrato_promedio_reportado,densidad_incidentes_km2,0.059,0.53882,0.084,0.37723,112,0.42438,False
UPZ,estrato_promedio_reportado,dist_estacion_bomberos_m,0.124,0.19387,0.04,0.67166,112,0.7029,False
UPZ,estrato_promedio_reportado,cobertura_macrorutas_pct,0.213,0.02414,0.189,0.04544,112,0.07051,False
UPZ,deficit_aseo_relativo,densidad_cestas_km2,-0.98,0.0,-0.983,0.0,112,0.0,True
UPZ,deficit_aseo_relativo,densidad_contenedores_km2,-0.298,0.00142,-0.412,1e-05,112,5e-05,True
UPZ,deficit_aseo_relativo,densidad_puntos_criticos_km2,0.038,0.69122,-0.103,0.27905,112,0.33939,False
UPZ,deficit_aseo_relativo,densidad_cuadrantes_km2,-0.213,0.02401,-0.298,0.00143,112,0.00358,True
UPZ,deficit_aseo_relativo,densidad_incidentes_km2,-0.287,0.00214,-0.352,0.00014,112,0.00056,True
