cod_upz,pendiente_incidentes_anio,p_value,media_incidentes
1.0,17.1,0.3425,46.4
2.0,-7.7,0.4722,33.6
3.0,16.5,0.2106,36.2
9.0,71.3,0.1451,158.6
10.0,-68.3,0.0354,233.8
11.0,28.2,0.3594,162.8
12.0,-16.7,0.3402,235.0
13.0,113.0,0.2497,482.4
14.0,-182.6,0.0011,554.0
15.0,-93.0,0.0065,265.8
16.0,52.1,0.4445,316.4
17.0,-90.7,0.0114,377.8
18.0,-75.0,0.1017,443.4
19.0,-5.6,0.8859,360.4
20.0,-95.7,0.0011,298.6
21.0,-25.6,0.2972,227.0
22.0,-8.2,0.7404,252.8
23.0,-59.0,0.0002,262.8
24.0,39.5,0.5243,317.4
25.0,-82.0,0.008,281.6
26.0,73.9,0.4447,432.2
27.0,-95.7,0.0631,644.4
28.0,-26.1,0.6169,606.0
29.0,-190.8,0.0063,586.2
30.0,-46.0,0.2754,427.8
31.0,-95.8,0.0006,330.4
32.0,20.4,0.6375,374.0
33.0,-143.3,0.0218,383.8
34.0,0.3,0.9938,320.6
35.0,-88.9,0.011,216.8
36.0,17.6,0.4464,155.8
37.0,-1.4,0.9071,179.4
38.0,88.5,0.379,453.6
39.0,-57.7,0.0843,513.8
40.0,-34.6,0.1358,363.2
41.0,-49.3,0.0078,196.8
42.0,89.2,0.2905,381.8
43.0,-123.8,0.0404,476.6
44.0,-8.1,0.7383,273.6
45.0,-76.5,0.0326,435.6
46.0,-13.4,0.6876,391.6
47.0,17.3,0.7274,509.2
48.0,-8.7,0.7195,313.6
49.0,-86.3,0.0222,214.8
50.0,86.4,0.2611,270.6
51.0,-74.9,0.0035,377.4
52.0,-85.5,0.0164,199.2
53.0,-0.1,0.9943,136.6
54.0,0.4,0.9841,211.2
55.0,-33.8,0.0092,193.0
56.0,-6.2,0.64,138.2
57.0,83.9,0.3386,375.0
58.0,-69.7,0.0057,381.4
59.0,-112.4,0.0176,261.2
60.0,-26.9,0.0654,67.6
61.0,25.3,0.2169,90.0
62.0,57.5,0.0899,116.2
63.0,-68.7,0.01,125.2
64.0,-1.9,0.4234,11.2
65.0,52.2,0.2626,136.2
66.0,11.5,0.786,276.2
67.0,-19.8,0.595,486.0
68.0,-119.5,0.0112,341.2
69.0,10.2,0.7768,371.4
70.0,-49.4,0.0349,284.4
71.0,67.5,0.2255,326.6
72.0,-103.9,0.0016,368.4
73.0,68.5,0.4093,458.8
74.0,-164.7,0.0182,521.6
75.0,77.5,0.4212,554.2
76.0,-218.6,0.0161,435.4
77.0,-5.2,0.5965,157.8
78.0,-1.1,0.9207,78.6
79.0,25.9,0.0839,73.0
80.0,10.5,0.2874,113.4
81.0,-13.0,0.303,134.0
82.0,39.5,0.3361,234.6
83.0,-109.4,0.0173,205.6
84.0,133.8,0.181,321.2
85.0,-20.5,0.7104,635.8
86.0,-153.7,0.0117,439.6
87.0,-14.6,0.2846,194.4
88.0,60.2,0.2269,161.8
89.0,-61.4,0.0106,178.0
90.0,40.2,0.2359,239.6
91.0,-69.6,0.0531,289.6
92.0,-18.2,0.2608,187.0
93.0,26.0,0.6834,324.0
94.0,-12.2,0.8635,467.6
95.0,-168.8,0.0215,378.0
96.0,68.6,0.0679,137.8
97.0,-2.1,0.9746,524.2
98.0,-161.3,0.005,522.2
99.0,41.2,0.6995,602.4
100.0,-136.6,0.0441,607.2
101.0,-72.5,0.0321,331.0
102.0,97.7,0.3553,614.8
103.0,-315.3,0.0189,496.2
104.0,-9.0,0.7878,148.0
105.0,-27.1,0.0304,53.8
106.0,36.6,0.2477,89.8
107.0,-16.1,0.5154,196.4
108.0,-26.9,0.0167,244.6
109.0,-54.7,0.0206,162.4
110.0,-26.1,0.1332,213.6
111.0,36.8,0.4235,198.2
112.0,6.3,0.345,441.4
113.0,-43.2,0.0247,201.0
114.0,12.4,0.4568,149.2
115.0,-82.5,0.0221,202.0
116.0,1.5,0.9231,78.2
117.0,1.2,0.8393,29.2
