upz_id,upz_nombre,localidad_id,localidad_nombre,area_km2
75,Fontibon,09,FONTIBON,4.9606
22,Doce De Octubre,12,BARRIOS UNIDOS,3.3599
114,Modelia,09,FONTIBON,2.6137
103,Parque Salitre,12,BARRIOS UNIDOS,1.6511
105,Jardin Botanico,10,ENGATIVA,1.6158
88,El Refugio,02,CHAPINERO,3.3571
27,Suba,11,SUBA,6.5238
99,Chapinero,02,CHAPINERO,1.5917
109,Ciudad Salitre Oriental,13,TEUSAQUILLO,1.8039
90,Pardo Rubio,02,CHAPINERO,2.8497
33,Sosiego,04,SAN CRISTOBAL,2.3473
102,La Sabana,14,LOS MARTIRES,4.5058
45,Carvajal,08,KENNEDY,4.3824
93,Las Nieves,03,SANTA FE,1.7244
72,Bolivia,10,ENGATIVA,4.7413
15,Country Club,01,USAQUEN,2.8538
16,Santa Barbara,01,USAQUEN,4.5833
21,Los Andes,12,BARRIOS UNIDOS,2.746
89,San Isidro - Patios,02,CHAPINERO,1.1293
106,La Esmeralda,13,TEUSAQUILLO,1.9272
86,El Porvenir,07,BOSA,4.6067
82,Patio Bonito,08,KENNEDY,3.1707
37,Santa Isabel,14,LOS MARTIRES,2.003
49,Apogeo,07,BOSA,2.1042
19,El Prado,11,SUBA,4.3306
24,Niza,11,SUBA,7.5599
23,Casa Blanca Suba,11,SUBA,4.2015
110,Ciudad Salitre Occidental,09,FONTIBON,2.2552
100,Galerias,13,TEUSAQUILLO,2.3738
83,Las Margaritas,08,KENNEDY,1.4712
107,Quinta Paredes,13,TEUSAQUILLO,1.7382
101,Teusaquillo,13,TEUSAQUILLO,2.3551
91,Sagrado Corazon,03,SANTA FE,1.4607
108,Zona Industrial,16,PUENTE ARANDA,3.4668
55,Diana Turbay,18,RAFAEL URIBE URIBE,2.1126
51,Los Libertadores,04,SAN CRISTOBAL,3.6465
60,Parque Entrenubes,05,USME,4.187
56,Danubio,05,USME,2.8851
65,Arborizadora,19,CIUDAD BOLIVAR,3.0602
2,La Academia,11,SUBA,6.7153
17,San Jose De Bavaria,11,SUBA,4.3792
18,Britalia,11,SUBA,3.2839
26,Las Ferias,10,ENGATIVA,4.7296
48,Timiza,08,KENNEDY,4.301
13,Los Cedros,01,USAQUEN,6.7172
70,Jerusalem,19,CIUDAD BOLIVAR,5.3705
35,Ciudad Jardin,15,ANTONIO NARINO,1.3313
38,Restrepo,15,ANTONIO NARINO,3.5443
115,Capellania,09,FONTIBON,2.7189
50,La Gloria,04,SAN CRISTOBAL,3.8555
20,La Alhambra,11,SUBA,2.8455
79,Calandaima,08,KENNEDY,3.1868
61,Ciudad Usme,05,USME,9.2473
12,Toberin,01,USAQUEN,2.9043
10,La Uribe,01,USAQUEN,3.4499
59,Alfonso Lopez,05,USME,2.1632
58,Comuneros,05,USME,4.9264
43,San Rafael,16,PUENTE ARANDA,3.2905
47,Kennedy Central,08,KENNEDY,3.3694
36,San Jose,18,RAFAEL URIBE URIBE,2.0778
66,San Francisco,19,CIUDAD BOLIVAR,1.7846
57,Gran Yomasa,05,USME,5.3537
52,La Flora,05,USME,1.8757
11,San Cristobal Norte,01,USAQUEN,2.7506
14,Usaquen,01,USAQUEN,4.923
73,Garces Navas,10,ENGATIVA,5.546
74,Engativa,10,ENGATIVA,5.8717
104,Parque Simon Bolivar - Can,13,TEUSAQUILLO,3.9837
31,Santa Cecilia,10,ENGATIVA,3.0833
68,El Tesoro,19,CIUDAD BOLIVAR,2.1069
64,Monte Blanco,19,CIUDAD BOLIVAR,6.9512
71,Tibabuyes,11,SUBA,7.258
29,Minuto De Dios,10,ENGATIVA,3.7297
76,Fontibon San Pablo,09,FONTIBON,3.5968
3,Guaymaral,11,SUBA,4.5327
80,Corabastos,08,KENNEDY,1.8438
67,Lucero,19,CIUDAD BOLIVAR,5.8592
63,El Mochuelo,19,CIUDAD BOLIVAR,3.1648
28,El Rincon,11,SUBA,7.0952
30,Boyaca Real,10,ENGATIVA,4.5342
116,Alamos,10,ENGATIVA,2.0008
85,Bosa Central,07,BOSA,7.1409
42,Venecia,06,TUNJUELITO,6.6331
111,Puente Aranda,16,PUENTE ARANDA,3.5616
44,Americas,08,KENNEDY,3.8067
41,Muzu,16,PUENTE ARANDA,2.5262
40,Ciudad Montes,16,PUENTE ARANDA,4.4522
34,20 De Julio,04,SAN CRISTOBAL,2.6233
84,Bosa Occidental,07,BOSA,4.3004
32,San Blas,04,SAN CRISTOBAL,3.9971
95,Las Cruces,03,SANTA FE,0.923
87,Tintal Sur,07,BOSA,5.7645
117,Aeropuerto El Dorado,09,FONTIBON,7.425
77,Zona Franca,09,FONTIBON,4.912
54,Marruecos,18,RAFAEL URIBE URIBE,3.626
39,Quiroga,18,RAFAEL URIBE URIBE,3.7928
62,Tunjuelito,06,TUNJUELITO,3.2699
53,Marco Fidel Suarez,18,RAFAEL URIBE URIBE,1.8439
69,Ismael Perdomo,19,CIUDAD BOLIVAR,5.5945
1,Paseo De Los Libertadores,01,USAQUEN,6.3045
46,Castilla,08,KENNEDY,5.028
112,Granjas De Techo,09,FONTIBON,4.7722
25,La Floresta,11,SUBA,3.9316
97,Chico Lago,02,CHAPINERO,4.2211
98,Los Alcazares,12,BARRIOS UNIDOS,4.137
96,Lourdes,03,SANTA FE,1.9998
92,La Macarena,03,SANTA FE,0.8583
94,La Candelaria,17,CANDELARIA,2.0586
78,Tintal Norte,08,KENNEDY,3.431
9,Verbenal,01,USAQUEN,3.555
113,Bavaria,08,KENNEDY,2.7701
81,Gran Britalia,08,KENNEDY,1.7976
