hypothesis_id,hypothesis_name,variable_x,variable_y,method,statistic,p_value,effect_size,confidence_interval,n,conclusion,evidence_level
H1,Vulnerabilidad socioeconómica -> Déficit de infraestructura de aseo,estrato_promedio_oficial,deficit_aseo_relativo,Spearman (UPZ),-0.576,0.0,rho,,112.0,SUPPORTED,CONFIRMADA
H1,Vulnerabilidad socioeconómica -> Déficit de infraestructura de aseo,estrato_promedio_oficial,deficit_aseo_relativo,Spearman (Localidad),-0.598,0.0068,rho,,19.0,SUPPORTED,CONFIRMADA
H1,Vulnerabilidad socioeconómica -> Déficit de infraestructura de aseo,estrato_promedio_oficial,deficit_aseo_relativo,Moran Bivariado (UPZ),-0.381,0.001,Moran I bivariado,,,SUPPORTED,CONFIRMADA
H2,Déficit de infraestructura de aseo -> Arrojo clandestino,deficit_aseo_relativo,n_puntos_criticos,"Binomial Negativa multivariable (UPZ, controla estrato)",-0.4835,0.0005,IRR=0.617,"[-0.7578, -0.2092]",112.0,SIGNIFICANT_OPPOSITE_DIRECTION,NO_RESPALDADA
H2,Déficit de infraestructura de aseo -> Arrojo clandestino,deficit_aseo_relativo,densidad_puntos_criticos_km2,Moran Bivariado (UPZ),-0.0074,0.476,Moran I bivariado,,,NOT_SUPPORTED,NO_RESPALDADA
H2,Déficit de infraestructura de aseo -> Arrojo clandestino,n_puntos_criticos,distancia_a_cesta_m,Mann-Whitney U (vs. puntos aleatorios),,0.0,media_puntos_criticos=91.8m vs media_aleatorio=212.8m,,,SIGNIFICANT_OPPOSITE_DIRECTION,NO_RESPALDADA
H2,Déficit de infraestructura de aseo -> Arrojo clandestino,n_puntos_criticos,distancia_a_contenedor_m,Mann-Whitney U (vs. puntos aleatorios),,0.0,media_puntos_criticos=303.9m vs media_aleatorio=466.3m,,,SIGNIFICANT_OPPOSITE_DIRECTION,NO_RESPALDADA
H2,Déficit de infraestructura de aseo -> Arrojo clandestino,n_puntos_criticos,distancia_a_bombero_m,Mann-Whitney U (vs. puntos aleatorios),,0.0,media_puntos_criticos=1748.4m vs media_aleatorio=2308.4m,,,SIGNIFICANT_OPPOSITE_DIRECTION,NO_RESPALDADA
H3,Vulnerabilidad socioeconómica -> Arrojo clandestino,estrato_promedio_oficial,n_puntos_criticos,Binomial Negativa multivariable (UPZ),-0.8987,0.0,IRR=0.407,"[-1.1812, -0.6161]",112.0,SUPPORTED,CONFIRMADA
H4,Arrojo clandestino -> Delitos de alto impacto,n_puntos_criticos,homicidios_cont,Spearman bivariado (crudo),0.766,0.0001,rho,,20.0,SUPPORTED,PARCIALMENTE_RESPALDADA
H4,Arrojo clandestino -> Delitos de alto impacto,densidad_puntos_criticos_km2,densidad_homicidios_km2,Spearman bivariado (densidad),0.827,0.0,rho,,20.0,SUPPORTED,PARCIALMENTE_RESPALDADA
H4,Arrojo clandestino -> Delitos de alto impacto,densidad_puntos_criticos_km2,densidad_homicidios_km2,Spearman bivariado (log),0.827,0.0,rho,,20.0,SUPPORTED,PARCIALMENTE_RESPALDADA
H4,Arrojo clandestino -> Delitos de alto impacto,n_puntos_criticos,homicidios_cont,"Binomial Negativa multivariable (localidad, controla déficit+cuadrantes)",0.0287,0.0768,IRR=1.029,"[-0.0031, 0.0604]",20.0,NOT_SIGNIFICANT_INCREMENTAL,PARCIALMENTE_RESPALDADA
H4,Arrojo clandestino -> Delitos de alto impacto,n_puntos_criticos,homicidios_cont,"Spearman, sub-periodo 2018-2021",0.757,0.0001,rho,,20.0,SUPPORTED,PARCIALMENTE_RESPALDADA
H4,Arrojo clandestino -> Delitos de alto impacto,n_puntos_criticos,homicidios_cont,"Spearman, sub-periodo 2022-2026",0.784,0.0,rho,,20.0,SUPPORTED,PARCIALMENTE_RESPALDADA
H5,Arrojo clandestino -> Emergencias urbanas,n_puntos_criticos,n_incidentes_total,Spearman bivariado (crudo),0.397,0.0,rho,,112.0,SUPPORTED,PARCIALMENTE_RESPALDADA
H5,Arrojo clandestino -> Emergencias urbanas,densidad_puntos_criticos_km2,densidad_incidentes_km2,Spearman bivariado (densidad),0.261,0.0055,rho,,112.0,SUPPORTED,PARCIALMENTE_RESPALDADA
H5,Arrojo clandestino -> Emergencias urbanas,densidad_puntos_criticos_km2,densidad_incidentes_km2,Spearman bivariado (log),0.261,0.0055,rho,,112.0,SUPPORTED,PARCIALMENTE_RESPALDADA
H5,Arrojo clandestino -> Emergencias urbanas,n_puntos_criticos,n_incidentes_total,"Binomial Negativa multivariable (UPZ, controla estrato+distancia bomberos)",-0.0093,0.6807,IRR=0.991,"[-0.0537, 0.0351]",112.0,NOT_SIGNIFICANT_INCREMENTAL,PARCIALMENTE_RESPALDADA
H5,Arrojo clandestino -> Emergencias urbanas,densidad_puntos_criticos_km2,densidad_incidentes_km2,Moran Bivariado (UPZ),0.1056,0.029,Moran I bivariado,,,SUPPORTED_WEAK,PARCIALMENTE_RESPALDADA
H5,Arrojo clandestino -> Emergencias urbanas,n_puntos_criticos,n_incidentes_total,"Spearman, sub-periodo 2016-2017",0.144,0.1296,rho,,112.0,NOT_SUPPORTED,PARCIALMENTE_RESPALDADA
H5,Arrojo clandestino -> Emergencias urbanas,n_puntos_criticos,n_incidentes_total,"Spearman, sub-periodo 2019-2020",0.521,0.0,rho,,112.0,SUPPORTED,PARCIALMENTE_RESPALDADA
H6,Vulnerabilidad socioeconómica -> Delitos de alto impacto,estrato_promedio_oficial,homicidios_cont,"Binomial Negativa multivariable conjunto (localidad, controla déficit+arrojo+cuadrantes)",-0.9224,0.0452,IRR=0.398,"[-1.825, -0.0198]",19.0,SUPPORTED,CONFIRMADA
H7,Vulnerabilidad socioeconómica -> Emergencias urbanas,estrato_promedio_oficial,n_incidentes_total,Binomial Negativa multivariable (UPZ),-0.0075,0.9345,IRR=0.993,"[-0.1864, 0.1714]",112.0,NOT_SUPPORTED,NO_RESPALDADA
H_CONJUNTA,Vulnerabilidad + Déficit + Arrojo + Policía -> Delitos (modelo conjunto),estrato_promedio_oficial,homicidios_cont,Binomial Negativa multivariable conjunto (localidad),-0.9224,0.0452,IRR=0.398,"[-1.825, -0.0198]",19.0,SUPPORTED,PARCIALMENTE_RESPALDADA_POR_VULNERABILIDAD
H_CONJUNTA,Vulnerabilidad + Déficit + Arrojo + Policía -> Delitos (modelo conjunto),deficit_aseo_relativo,homicidios_cont,Binomial Negativa multivariable conjunto (localidad),-0.6923,0.0594,IRR=0.5,"[-1.412, 0.0275]",19.0,NOT_SIGNIFICANT,PARCIALMENTE_RESPALDADA_POR_VULNERABILIDAD
H_CONJUNTA,Vulnerabilidad + Déficit + Arrojo + Policía -> Delitos (modelo conjunto),n_puntos_criticos,homicidios_cont,Binomial Negativa multivariable conjunto (localidad),0.0071,0.7233,IRR=1.007,"[-0.0323, 0.0465]",19.0,NOT_SIGNIFICANT,PARCIALMENTE_RESPALDADA_POR_VULNERABILIDAD
H_CONJUNTA,Vulnerabilidad + Déficit + Arrojo + Policía -> Delitos (modelo conjunto),n_cuadrantes,homicidios_cont,Binomial Negativa multivariable conjunto (localidad),-0.0037,0.8511,IRR=0.996,"[-0.0422, 0.0349]",19.0,NOT_SIGNIFICANT,PARCIALMENTE_RESPALDADA_POR_VULNERABILIDAD
