localidad_id,localidad_nombre,high_impact_crimes,crimes_per_km2
09,FONTIBON,95333.0,2866.78
10,ENGATIVA,164437.0,4586.51
11,SUBA,177876.0,1770.26
15,ANTONIO NARINO,32313.0,6627.49
06,TUNJUELITO,34634.0,3497.32
18,RAFAEL URIBE URIBE,60430.0,4371.7
17,CANDELARIA,16915.0,8216.75
12,BARRIOS UNIDOS,62043.0,5216.37
13,TEUSAQUILLO,86111.0,6071.94
16,PUENTE ARANDA,78377.0,4531.17
14,LOS MARTIRES,65184.0,10014.75
20,SUMAPAZ,65.0,0.08
01,USAQUEN,113580.0,1743.39
02,CHAPINERO,120066.0,3161.43
03,SANTA FE,79219.0,1755.18
04,SAN CRISTOBAL,55737.0,1136.12
05,USME,45102.0,209.88
19,CIUDAD BOLIVAR,87784.0,675.79
07,BOSA,94439.0,3949.08
08,KENNEDY,182203.0,4725.3
