localidad_id,localidad_nombre,emergencies,emergencies_per_km2,fires
09,FONTIBON,9118,274.19,419
10,ENGATIVA,14831,413.67,767
11,SUBA,19943,198.48,949
15,ANTONIO NARINO,3504,718.68,122
06,TUNJUELITO,4011,405.03,259
18,RAFAEL URIBE URIBE,3306,239.17,290
17,CANDELARIA,1041,505.68,46
12,BARRIOS UNIDOS,4763,400.46,259
13,TEUSAQUILLO,6911,487.31,244
16,PUENTE ARANDA,6358,367.57,309
14,LOS MARTIRES,2825,434.03,123
20,SUMAPAZ,90,0.12,11
01,USAQUEN,13108,201.2,707
02,CHAPINERO,10617,279.55,617
03,SANTA FE,6268,138.87,512
04,SAN CRISTOBAL,9060,184.67,841
05,USME,6771,31.51,556
19,CIUDAD BOLIVAR,9726,74.87,867
07,BOSA,8072,337.54,803
08,KENNEDY,14052,364.43,921
