year,upz_id,upz_nombre,localidad_id,localidad_nombre,emergencies,emergencies_per_km2,fires,rescues,environmental_emergencies
2016,75,Fontibon,09,FONTIBON,344,69.35,20,33,0
2017,75,Fontibon,09,FONTIBON,314,63.3,36,46,13
2018,75,Fontibon,09,FONTIBON,788,158.85,36,58,19
2019,75,Fontibon,09,FONTIBON,873,175.99,44,69,16
2020,75,Fontibon,09,FONTIBON,452,91.12,23,47,17
2016,22,Doce De Octubre,12,BARRIOS UNIDOS,245,72.92,8,26,0
2017,22,Doce De Octubre,12,BARRIOS UNIDOS,227,67.56,10,22,16
2018,22,Doce De Octubre,12,BARRIOS UNIDOS,322,95.84,11,48,18
2019,22,Doce De Octubre,12,BARRIOS UNIDOS,305,90.78,32,41,19
2020,22,Doce De Octubre,12,BARRIOS UNIDOS,165,49.11,14,23,7
2016,114,Modelia,09,FONTIBON,102,39.03,7,6,0
2017,114,Modelia,09,FONTIBON,122,46.68,6,12,6
2018,114,Modelia,09,FONTIBON,201,76.9,6,13,11
2019,114,Modelia,09,FONTIBON,192,73.46,6,16,15
2020,114,Modelia,09,FONTIBON,129,49.36,5,17,21
2016,103,Parque Salitre,12,BARRIOS UNIDOS,1179,714.07,70,66,0
2017,103,Parque Salitre,12,BARRIOS UNIDOS,957,579.61,47,58,14
2018,103,Parque Salitre,12,BARRIOS UNIDOS,222,134.46,7,19,4
2019,103,Parque Salitre,12,BARRIOS UNIDOS,84,50.88,2,2,1
2020,103,Parque Salitre,12,BARRIOS UNIDOS,39,23.62,1,3,1
2016,105,Jardin Botanico,10,ENGATIVA,132,81.69,1,6,0
2017,105,Jardin Botanico,10,ENGATIVA,56,34.66,0,1,5
2018,105,Jardin Botanico,10,ENGATIVA,41,25.37,0,4,0
2019,105,Jardin Botanico,10,ENGATIVA,31,19.19,2,9,5
2020,105,Jardin Botanico,10,ENGATIVA,9,5.57,2,3,1
2016,88,El Refugio,02,CHAPINERO,21,6.26,1,1,0
2017,88,El Refugio,02,CHAPINERO,20,5.96,3,2,0
2018,88,El Refugio,02,CHAPINERO,264,78.64,9,30,58
2019,88,El Refugio,02,CHAPINERO,344,102.47,30,52,84
2020,88,El Refugio,02,CHAPINERO,160,47.66,7,18,45
2016,27,Suba,11,SUBA,789,120.94,30,51,0
2017,27,Suba,11,SUBA,709,108.68,28,45,16
2018,27,Suba,11,SUBA,737,112.97,29,81,49
2019,27,Suba,11,SUBA,644,98.72,33,77,69
2020,27,Suba,11,SUBA,343,52.58,20,50,25
2016,99,Chapinero,02,CHAPINERO,454,285.23,22,46,0
2017,99,Chapinero,02,CHAPINERO,377,236.85,21,48,23
2018,99,Chapinero,02,CHAPINERO,867,544.7,23,85,29
2019,99,Chapinero,02,CHAPINERO,931,584.91,31,70,21
2020,99,Chapinero,02,CHAPINERO,383,240.62,14,48,10
2016,109,Ciudad Salitre Oriental,13,TEUSAQUILLO,235,130.27,21,14,0
2017,109,Ciudad Salitre Oriental,13,TEUSAQUILLO,271,150.23,50,42,3
2018,109,Ciudad Salitre Oriental,13,TEUSAQUILLO,154,85.37,12,10,8
2019,109,Ciudad Salitre Oriental,13,TEUSAQUILLO,110,60.98,4,22,13
2020,109,Ciudad Salitre Oriental,13,TEUSAQUILLO,42,23.28,2,7,5
2016,90,Pardo Rubio,02,CHAPINERO,191,67.02,89,8,0
2017,90,Pardo Rubio,02,CHAPINERO,101,35.44,5,3,24
2018,90,Pardo Rubio,02,CHAPINERO,284,99.66,14,32,28
2019,90,Pardo Rubio,02,CHAPINERO,359,125.98,23,54,63
2020,90,Pardo Rubio,02,CHAPINERO,263,92.29,59,32,18
2016,33,Sosiego,04,SAN CRISTOBAL,741,315.68,177,19,0
2017,33,Sosiego,04,SAN CRISTOBAL,521,221.96,32,35,13
2018,33,Sosiego,04,SAN CRISTOBAL,232,98.84,12,17,10
2019,33,Sosiego,04,SAN CRISTOBAL,280,119.29,42,42,8
2020,33,Sosiego,04,SAN CRISTOBAL,145,61.77,12,9,9
2016,102,La Sabana,14,LOS MARTIRES,381,84.56,20,42,0
2017,102,La Sabana,14,LOS MARTIRES,347,77.01,14,48,18
2018,102,La Sabana,14,LOS MARTIRES,788,174.89,37,44,9
2019,102,La Sabana,14,LOS MARTIRES,1030,228.59,39,54,10
2020,102,La Sabana,14,LOS MARTIRES,528,117.18,27,34,5
2016,45,Carvajal,08,KENNEDY,624,142.39,24,43,0
2017,45,Carvajal,08,KENNEDY,475,108.39,10,44,8
2018,45,Carvajal,08,KENNEDY,381,86.94,50,36,4
