year,upz_id,upz_nombre,localidad_id,localidad_nombre,pct_stratum_1_2,cestas,cestas_per_km2,containers,containers_per_km2,sweeping_route_coverage,critical_points,critical_points_per_km2,emergencies,emergencies_per_km2
2016,75,Fontibon,09,FONTIBON,4.753820033955857,416,83.86,333,67.13,15.7,11,2.22,344.0,69.35
2016,22,Doce De Octubre,12,BARRIOS UNIDOS,0.0,961,286.02,130,38.69,100.0,9,2.68,245.0,72.92
2016,114,Modelia,09,FONTIBON,0.0,908,347.4,31,11.86,25.6,5,1.91,102.0,39.03
2016,103,Parque Salitre,12,BARRIOS UNIDOS,0.0,200,121.13,15,9.08,100.0,0,0.0,1179.0,714.07
2016,105,Jardin Botanico,10,ENGATIVA,25.0,420,259.93,15,9.28,100.0,0,0.0,132.0,81.69
2016,88,El Refugio,02,CHAPINERO,0.0,1052,313.37,0,0.0,47.7,0,0.0,21.0,6.26
2016,27,Suba,11,SUBA,55.13513513513514,938,143.78,60,9.2,72.9,5,0.77,789.0,120.94
2016,99,Chapinero,02,CHAPINERO,0.0,988,620.72,0,0.0,63.0,3,1.88,454.0,285.23
2016,109,Ciudad Salitre Oriental,13,TEUSAQUILLO,0.0,792,439.05,7,3.88,27.4,0,0.0,235.0,130.27
2016,90,Pardo Rubio,02,CHAPINERO,49.81132075471698,620,217.57,0,0.0,50.1,2,0.7,191.0,67.02
2016,33,Sosiego,04,SAN CRISTOBAL,17.535545023696685,857,365.1,40,17.04,62.4,4,1.7,741.0,315.68
2016,102,La Sabana,14,LOS MARTIRES,16.158536585365855,1472,326.69,63,13.98,32.4,16,3.55,381.0,84.56
2016,45,Carvajal,08,KENNEDY,32.149901380670606,676,154.25,158,36.05,14.0,14,3.19,624.0,142.39
2016,93,Las Nieves,03,SANTA FE,7.920792079207921,327,189.63,199,115.4,67.3,5,2.9,223.0,129.32
2016,72,Bolivia,10,ENGATIVA,0.0,358,75.51,29,6.12,100.0,1,0.21,544.0,114.74
2016,15,Country Club,01,USAQUEN,0.0,281,98.47,21,7.36,27.8,0,0.0,439.0,153.83
2016,16,Santa Barbara,01,USAQUEN,0.0,1115,243.27,63,13.75,66.6,0,0.0,173.0,37.75
2016,21,Los Andes,12,BARRIOS UNIDOS,0.0,720,262.2,84,30.59,100.0,2,0.73,251.0,91.41
2016,89,San Isidro - Patios,02,CHAPINERO,98.0,0,0.0,0,0.0,51.5,0,0.0,297.0,262.99
2016,106,La Esmeralda,13,TEUSAQUILLO,0.0,780,404.73,85,44.11,32.4,0,0.0,0.0,0.0
2016,86,El Porvenir,07,BOSA,100.0,464,100.72,170,36.9,22.7,11,2.39,705.0,153.04
2016,82,Patio Bonito,08,KENNEDY,100.0,143,45.1,11,3.47,18.5,12,3.78,133.0,41.95
2016,37,Santa Isabel,14,LOS MARTIRES,0.0,984,491.26,9,4.49,41.6,3,1.5,166.0,82.88
2016,49,Apogeo,07,BOSA,61.5,345,163.96,3,1.43,26.1,2,0.95,350.0,166.33
2016,19,El Prado,11,SUBA,2.1406727828746175,1683,388.63,202,46.64,85.1,5,1.15,337.0,77.82
2016,24,Niza,11,SUBA,0.4975124378109453,2209,292.2,223,29.5,69.4,1,0.13,210.0,27.78
2016,23,Casa Blanca Suba,11,SUBA,35.714285714285715,826,196.6,31,7.38,52.8,0,0.0,372.0,88.54
2016,110,Ciudad Salitre Occidental,09,FONTIBON,0.0,1242,550.73,69,30.6,20.5,0,0.0,231.0,102.43
2016,100,Galerias,13,TEUSAQUILLO,0.0,936,394.3,6,2.53,37.8,3,1.26,827.0,348.39
2016,83,Las Margaritas,08,KENNEDY,100.0,418,284.12,17,11.56,4.0,2,1.36,418.0,284.12
2016,107,Quinta Paredes,13,TEUSAQUILLO,0.0,705,405.59,26,14.96,33.8,2,1.15,217.0,124.84
2016,101,Teusaquillo,13,TEUSAQUILLO,0.0,1161,492.97,1,0.42,40.7,1,0.42,410.0,174.09
2016,91,Sagrado Corazon,03,SANTA FE,0.0,659,451.15,0,0.0,55.2,2,1.37,400.0,273.84
2016,108,Zona Industrial,16,PUENTE ARANDA,6.944444444444445,693,199.9,7,2.02,31.2,4,1.15,298.0,85.96
2016,55,Diana Turbay,18,RAFAEL URIBE URIBE,100.0,191,90.41,61,28.87,48.5,6,2.84,268.0,126.86
2016,51,Los Libertadores,04,SAN CRISTOBAL,100.0,158,43.33,3,0.82,67.9,5,1.37,508.0,139.31
2016,60,Parque Entrenubes,05,USME,100.0,0,0.0,0,0.0,4.6,0,0.0,115.0,27.47
2016,56,Danubio,05,USME,100.0,443,153.55,0,0.0,36.5,1,0.35,135.0,46.79
2016,65,Arborizadora,19,CIUDAD BOLIVAR,66.7910447761194,529,172.86,77,25.16,28.5,10,3.27,13.0,4.25
2016,2,La Academia,11,SUBA,0.0,7,1.04,43,6.4,24.7,0,0.0,40.0,5.96
2016,17,San Jose De Bavaria,11,SUBA,0.0,660,150.71,286,65.31,70.7,1,0.23,528.0,120.57
2016,18,Britalia,11,SUBA,2.7210884353741496,946,288.07,309,94.1,76.9,2,0.61,545.0,165.96
2016,26,Las Ferias,10,ENGATIVA,0.0,635,134.26,203,42.92,100.0,13,2.75,228.0,48.21
2016,48,Timiza,08,KENNEDY,36.835278858625166,663,154.15,280,65.1,14.1,12,2.79,268.0,62.31
2016,13,Los Cedros,01,USAQUEN,2.0114942528735633,1120,166.74,60,8.93,44.9,0,0.0,204.0,30.37
2016,70,Jerusalem,19,CIUDAD BOLIVAR,100.0,301,56.05,282,52.51,27.3,6,1.12,348.0,64.8
2016,35,Ciudad Jardin,15,ANTONIO NARINO,17.105263157894736,511,383.84,5,3.76,37.8,3,2.25,418.0,313.98
2016,38,Restrepo,15,ANTONIO NARINO,0.0,1395,393.59,16,4.51,35.8,15,4.23,247.0,69.69
2016,115,Capellania,09,FONTIBON,0.0,563,207.07,21,7.72,14.0,6,2.21,364.0,133.88
2016,50,La Gloria,04,SAN CRISTOBAL,100.0,206,53.43,3,0.78,68.3,15,3.89,61.0,15.82
2016,20,La Alhambra,11,SUBA,0.0,1293,454.4,285,100.16,97.1,0,0.0,495.0,173.96
2016,79,Calandaima,08,KENNEDY,96.26168224299066,368,115.48,148,46.44,16.6,6,1.88,18.0,5.65
2016,61,Ciudad Usme,05,USME,100.0,132,14.27,0,0.0,9.8,1,0.11,43.0,4.65
2016,12,Toberin,01,USAQUEN,3.5175879396984926,1707,587.75,9,3.1,61.6,2,0.69,273.0,94.0
2016,10,La Uribe,01,USAQUEN,25.0,365,105.8,7,2.03,21.9,1,0.29,357.0,103.48
2016,59,Alfonso Lopez,05,USME,100.0,235,108.64,22,10.17,65.7,0,0.0,455.0,210.34
2016,58,Comuneros,05,USME,100.0,481,97.64,6,1.22,51.0,3,0.61,528.0,107.18
