localidad_id,localidad_nombre,cestas,cestas_per_km2,containers,containers_per_km2,population,cestas_per_1000pop,cestas_per_10000pop,containers_per_1000pop,waste_deficit_percapita
09,FONTIBON,4707,141.55,603,18.13,391900,12.011,120.11,1.539,0.087
10,ENGATIVA,5151,143.67,2772,77.32,828753,6.215,62.15,3.345,0.498
11,SUBA,10842,107.9,2846,28.32,1246636,8.697,86.97,2.283,0.351
15,ANTONIO NARINO,1906,390.93,21,4.31,80107,23.793,237.93,0.262,-0.994
06,TUNJUELITO,741,74.83,212,21.41,177919,4.165,41.65,1.192,0.93
18,RAFAEL URIBE URIBE,2161,156.33,521,37.69,380283,5.683,56.83,1.37,0.756
17,CANDELARIA,309,150.1,37,17.97,16927,18.255,182.55,2.186,-0.622
12,BARRIOS UNIDOS,3245,272.83,265,22.28,140302,23.129,231.29,1.889,-1.093
13,TEUSAQUILLO,5402,380.91,156,11.0,157925,34.206,342.06,0.988,-2.141
16,PUENTE ARANDA,4065,235.01,288,16.65,252262,16.114,161.14,1.142,-0.294
14,LOS MARTIRES,2456,377.34,72,11.06,84284,29.14,291.4,0.854,-1.605
20,SUMAPAZ,24,0.03,0,0.0,3611,6.646,66.46,0.0,0.798
01,USAQUEN,6286,96.49,251,3.85,574260,10.946,109.46,0.437,0.31
02,CHAPINERO,5132,135.13,128,3.37,164936,31.115,311.15,0.776,-1.801
03,SANTA FE,1160,25.7,203,4.5,112945,10.27,102.7,1.797,0.24
04,SAN CRISTOBAL,1882,38.36,245,4.99,401769,4.684,46.84,0.61,0.937
05,USME,2189,10.19,235,1.09,400313,5.468,54.68,0.587,0.858
19,CIUDAD BOLIVAR,2329,17.93,638,4.91,674259,3.454,34.54,0.946,1.029
07,BOSA,2386,99.77,284,11.88,761253,3.134,31.34,0.373,1.121
08,KENNEDY,7457,193.39,1389,36.02,1078895,6.912,69.12,1.287,0.638
