upz_id,upz_nombre,localidad_id,localidad_nombre,cestas,cestas_per_km2,containers,containers_per_km2,sweeping_route_coverage
75,Fontibon,09,FONTIBON,416,83.86,333,67.13,15.7
22,Doce De Octubre,12,BARRIOS UNIDOS,961,286.02,130,38.69,100.0
114,Modelia,09,FONTIBON,908,347.4,31,11.86,25.6
103,Parque Salitre,12,BARRIOS UNIDOS,200,121.13,15,9.08,100.0
105,Jardin Botanico,10,ENGATIVA,420,259.93,15,9.28,100.0
88,El Refugio,02,CHAPINERO,1052,313.37,0,0.0,47.7
27,Suba,11,SUBA,938,143.78,60,9.2,72.9
99,Chapinero,02,CHAPINERO,988,620.72,0,0.0,63.0
109,Ciudad Salitre Oriental,13,TEUSAQUILLO,792,439.05,7,3.88,27.4
90,Pardo Rubio,02,CHAPINERO,620,217.57,0,0.0,50.1
33,Sosiego,04,SAN CRISTOBAL,857,365.1,40,17.04,62.4
102,La Sabana,14,LOS MARTIRES,1472,326.69,63,13.98,32.4
45,Carvajal,08,KENNEDY,676,154.25,158,36.05,14.0
93,Las Nieves,03,SANTA FE,327,189.63,199,115.4,67.3
72,Bolivia,10,ENGATIVA,358,75.51,29,6.12,100.0
15,Country Club,01,USAQUEN,281,98.47,21,7.36,27.8
16,Santa Barbara,01,USAQUEN,1115,243.27,63,13.75,66.6
21,Los Andes,12,BARRIOS UNIDOS,720,262.2,84,30.59,100.0
89,San Isidro - Patios,02,CHAPINERO,0,0.0,0,0.0,51.5
106,La Esmeralda,13,TEUSAQUILLO,780,404.73,85,44.11,32.4
86,El Porvenir,07,BOSA,464,100.72,170,36.9,22.7
82,Patio Bonito,08,KENNEDY,143,45.1,11,3.47,18.5
37,Santa Isabel,14,LOS MARTIRES,984,491.26,9,4.49,41.6
49,Apogeo,07,BOSA,345,163.96,3,1.43,26.1
19,El Prado,11,SUBA,1683,388.63,202,46.64,85.1
24,Niza,11,SUBA,2209,292.2,223,29.5,69.4
23,Casa Blanca Suba,11,SUBA,826,196.6,31,7.38,52.8
110,Ciudad Salitre Occidental,09,FONTIBON,1242,550.73,69,30.6,20.5
100,Galerias,13,TEUSAQUILLO,936,394.3,6,2.53,37.8
83,Las Margaritas,08,KENNEDY,418,284.12,17,11.56,4.0
107,Quinta Paredes,13,TEUSAQUILLO,705,405.59,26,14.96,33.8
101,Teusaquillo,13,TEUSAQUILLO,1161,492.97,1,0.42,40.7
91,Sagrado Corazon,03,SANTA FE,659,451.15,0,0.0,55.2
108,Zona Industrial,16,PUENTE ARANDA,693,199.9,7,2.02,31.2
55,Diana Turbay,18,RAFAEL URIBE URIBE,191,90.41,61,28.87,48.5
51,Los Libertadores,04,SAN CRISTOBAL,158,43.33,3,0.82,67.9
60,Parque Entrenubes,05,USME,0,0.0,0,0.0,4.6
56,Danubio,05,USME,443,153.55,0,0.0,36.5
65,Arborizadora,19,CIUDAD BOLIVAR,529,172.86,77,25.16,28.5
2,La Academia,11,SUBA,7,1.04,43,6.4,24.7
17,San Jose De Bavaria,11,SUBA,660,150.71,286,65.31,70.7
18,Britalia,11,SUBA,946,288.07,309,94.1,76.9
26,Las Ferias,10,ENGATIVA,635,134.26,203,42.92,100.0
48,Timiza,08,KENNEDY,663,154.15,280,65.1,14.1
13,Los Cedros,01,USAQUEN,1120,166.74,60,8.93,44.9
70,Jerusalem,19,CIUDAD BOLIVAR,301,56.05,282,52.51,27.3
35,Ciudad Jardin,15,ANTONIO NARINO,511,383.84,5,3.76,37.8
38,Restrepo,15,ANTONIO NARINO,1395,393.59,16,4.51,35.8
115,Capellania,09,FONTIBON,563,207.07,21,7.72,14.0
50,La Gloria,04,SAN CRISTOBAL,206,53.43,3,0.78,68.3
20,La Alhambra,11,SUBA,1293,454.4,285,100.16,97.1
79,Calandaima,08,KENNEDY,368,115.48,148,46.44,16.6
61,Ciudad Usme,05,USME,132,14.27,0,0.0,9.8
12,Toberin,01,USAQUEN,1707,587.75,9,3.1,61.6
10,La Uribe,01,USAQUEN,365,105.8,7,2.03,21.9
59,Alfonso Lopez,05,USME,235,108.64,22,10.17,65.7
58,Comuneros,05,USME,481,97.64,6,1.22,51.0
43,San Rafael,16,PUENTE ARANDA,457,138.88,5,1.52,36.5
47,Kennedy Central,08,KENNEDY,1633,484.66,139,41.25,12.4
36,San Jose,18,RAFAEL URIBE URIBE,746,359.03,31,14.92,33.6
66,San Francisco,19,CIUDAD BOLIVAR,180,100.86,2,1.12,50.7
57,Gran Yomasa,05,USME,861,160.82,207,38.66,60.1
52,La Flora,05,USME,20,10.66,0,0.0,59.8
11,San Cristobal Norte,01,USAQUEN,291,105.8,4,1.45,59.8
14,Usaquen,01,USAQUEN,697,141.58,0,0.0,37.3
73,Garces Navas,10,ENGATIVA,927,167.15,680,122.61,100.0
74,Engativa,10,ENGATIVA,102,17.37,373,63.53,100.0
104,Parque Simon Bolivar - Can,13,TEUSAQUILLO,1028,258.05,31,7.78,12.9
31,Santa Cecilia,10,ENGATIVA,682,221.19,195,63.24,100.0
68,El Tesoro,19,CIUDAD BOLIVAR,119,56.48,5,2.37,43.0
64,Monte Blanco,19,CIUDAD BOLIVAR,10,1.44,0,0.0,2.2
71,Tibabuyes,11,SUBA,360,49.6,525,72.33,68.9
29,Minuto De Dios,10,ENGATIVA,838,224.68,705,189.02,100.0
76,Fontibon San Pablo,09,FONTIBON,137,38.09,17,4.73,4.6
3,Guaymaral,11,SUBA,2,0.44,34,7.5,9.2
80,Corabastos,08,KENNEDY,64,34.71,10,5.42,10.6
67,Lucero,19,CIUDAD BOLIVAR,216,36.87,6,1.02,44.7
63,El Mochuelo,19,CIUDAD BOLIVAR,31,9.8,0,0.0,2.7
28,El Rincon,11,SUBA,740,104.3,515,72.58,88.2
30,Boyaca Real,10,ENGATIVA,772,170.26,469,103.44,100.0
116,Alamos,10,ENGATIVA,417,208.42,103,51.48,100.0
85,Bosa Central,07,BOSA,953,133.46,21,2.94,39.1
42,Venecia,06,TUNJUELITO,717,108.09,152,22.92,25.0
111,Puente Aranda,16,PUENTE ARANDA,547,153.58,97,27.23,20.4
44,Americas,08,KENNEDY,819,215.15,116,30.47,14.4
41,Muzu,16,PUENTE ARANDA,951,376.45,137,54.23,44.2
40,Ciudad Montes,16,PUENTE ARANDA,1417,318.27,42,9.43,37.4
34,20 De Julio,04,SAN CRISTOBAL,565,215.38,192,73.19,79.8
84,Bosa Occidental,07,BOSA,440,102.32,35,8.14,49.4
32,San Blas,04,SAN CRISTOBAL,95,23.77,5,1.25,56.6
95,Las Cruces,03,SANTA FE,44,47.67,2,2.17,70.5
87,Tintal Sur,07,BOSA,184,31.92,55,9.54,10.9
117,Aeropuerto El Dorado,09,FONTIBON,114,15.35,0,0.0,1.9
77,Zona Franca,09,FONTIBON,389,79.19,58,11.81,3.9
54,Marruecos,18,RAFAEL URIBE URIBE,375,103.42,197,54.33,36.1
39,Quiroga,18,RAFAEL URIBE URIBE,785,206.97,207,54.58,41.1
62,Tunjuelito,06,TUNJUELITO,24,7.34,60,18.35,19.6
53,Marco Fidel Suarez,18,RAFAEL URIBE URIBE,64,34.71,25,13.56,43.7
69,Ismael Perdomo,19,CIUDAD BOLIVAR,932,166.59,266,47.55,39.4
1,Paseo De Los Libertadores,01,USAQUEN,107,16.97,0,0.0,7.2
46,Castilla,08,KENNEDY,1596,317.42,259,51.51,16.8
112,Granjas De Techo,09,FONTIBON,938,196.56,74,15.51,16.4
25,La Floresta,11,SUBA,1177,299.37,68,17.3,63.1
97,Chico Lago,02,CHAPINERO,2454,581.37,116,27.48,65.3
98,Los Alcazares,12,BARRIOS UNIDOS,1364,329.71,36,8.7,100.0
96,Lourdes,03,SANTA FE,59,29.5,0,0.0,72.5
92,La Macarena,03,SANTA FE,71,82.72,2,2.33,50.6
94,La Candelaria,17,CANDELARIA,309,150.1,37,17.97,60.4
78,Tintal Norte,08,KENNEDY,188,54.79,48,13.99,6.5
9,Verbenal,01,USAQUEN,593,166.81,87,24.47,60.1
113,Bavaria,08,KENNEDY,458,165.34,127,45.85,10.8
81,Gran Britalia,08,KENNEDY,431,239.76,76,42.28,17.3
