dataset_name,path,granularity,primary_key,source_layer,row_count,column_count
localidades.csv,dashboard/dimensions/localidades.csv,dimensions,localidad_id,data/gold/,20,3
upz.csv,dashboard/dimensions/upz.csv,dimensions,upz_id,data/gold/,112,5
years.csv,dashboard/dimensions/years.csv,dimensions,year,data/gold/,11,1
crime_categories_localidad.csv,dashboard/indicators/crime_categories_localidad.csv,indicators,localidad_id,data/gold/,140,4
crime_localidad.csv,dashboard/indicators/crime_localidad.csv,indicators,localidad_id,data/gold/,20,4
critical_points_localidad.csv,dashboard/indicators/critical_points_localidad.csv,indicators,localidad_id,data/gold/,20,4
critical_points_upz.csv,dashboard/indicators/critical_points_upz.csv,indicators,upz_id,data/gold/,112,6
emergencies_localidad_snapshot.csv,dashboard/indicators/emergencies_localidad_snapshot.csv,indicators,localidad_id,data/gold/,20,5
emergencies_upz_year.csv,dashboard/indicators/emergencies_upz_year.csv,indicators,year,data/gold/,551,10
upz_year.csv,dashboard/indicators/upz_year.csv,indicators,year,data/gold/,560,15
vulnerability.csv,dashboard/indicators/vulnerability.csv,indicators,upz_id,data/gold/,112,12
waste_infrastructure_localidad.csv,dashboard/indicators/waste_infrastructure_localidad.csv,indicators,localidad_id,data/gold/,20,11
waste_infrastructure_upz.csv,dashboard/indicators/waste_infrastructure_upz.csv,indicators,upz_id,data/gold/,112,15
critical_points_locations.csv,dashboard/spatial/critical_points_locations.csv,spatial,point_id,data/gold/,478,7
hotspots.csv,dashboard/spatial/hotspots.csv,spatial,geography_level,data/gold/,752,7
localidad_geometry.geojson,dashboard/spatial/localidad_geometry.geojson,spatial,localidad_id,data/gold/,20,3
spatial_statistics.csv,dashboard/spatial/spatial_statistics.csv,spatial,geography_level,data/gold/,767,8
upz_geometry.geojson,dashboard/spatial/upz_geometry.geojson,spatial,upz_id,data/gold/,112,3
trends.csv,dashboard/temporal/trends.csv,temporal,year,data/gold/,2595,5
hypothesis_results.csv,dashboard/hypotheses/hypothesis_results.csv,hypotheses,hypothesis_id,data/gold/,29,14
