point_id,latitude,longitude,upz_id,upz_nombre,localidad_id,localidad_nombre
1,4.57205993,-74.09667983,34,20 De Julio,04,SAN CRISTOBAL
2,4.64420353,-74.05499489,90,Pardo Rubio,02,CHAPINERO
3,4.61754709,-74.06214618,91,Sagrado Corazon,03,SANTA FE
4,4.59536408,-74.08105291,93,Las Nieves,03,SANTA FE
5,4.5794547,-74.08944868,33,Sosiego,04,SAN CRISTOBAL
6,4.58604562,-74.08106241,95,Las Cruces,04,SAN CRISTOBAL
7,4.60932431,-74.07418116,93,Las Nieves,03,SANTA FE
8,4.55578518,-74.0909429,34,20 De Julio,04,SAN CRISTOBAL
9,4.53239098,-74.0851911,51,Los Libertadores,04,SAN CRISTOBAL
10,4.52985044,-74.09066951,51,Los Libertadores,04,SAN CRISTOBAL
11,4.55170813,-74.09838549,50,La Gloria,04,SAN CRISTOBAL
12,4.55056071,-74.09953107,50,La Gloria,04,SAN CRISTOBAL
13,4.52122024,-74.08941015,51,Los Libertadores,04,SAN CRISTOBAL
14,4.55762854,-74.09812456,50,La Gloria,04,SAN CRISTOBAL
15,4.5439076,-74.08837088,50,La Gloria,04,SAN CRISTOBAL
16,4.58440152,-74.08190349,33,Sosiego,04,SAN CRISTOBAL
17,4.5550227,-74.09698351,50,La Gloria,04,SAN CRISTOBAL
18,4.49254969,-74.11603419,58,Comuneros,05,USME
19,4.51316238,-74.1169751,57,Gran Yomasa,05,USME
20,4.50483412,-74.11120493,58,Comuneros,05,USME
21,4.53749594,-74.11560558,56,Danubio,05,USME
22,4.52189508,-74.11842499,57,Gran Yomasa,05,USME
23,4.50914357,-74.10878922,57,Gran Yomasa,05,USME
24,4.5462856,-74.08721626,50,La Gloria,04,SAN CRISTOBAL
25,4.50316308,-74.11567714,58,Comuneros,05,USME
26,4.51535692,-74.11718694,57,Gran Yomasa,05,USME
27,4.51919566,-74.12047495,57,Gran Yomasa,05,USME
28,4.47594361,-74.12398015,61,Ciudad Usme,05,USME
29,4.53668897,-74.0939608,51,Los Libertadores,04,SAN CRISTOBAL
30,4.54657864,-74.08345146,50,La Gloria,04,SAN CRISTOBAL
31,4.54662623,-74.08101251,50,La Gloria,04,SAN CRISTOBAL
32,4.5871591,-74.08620492,33,Sosiego,04,SAN CRISTOBAL
33,4.57151014,-74.08546339,33,Sosiego,04,SAN CRISTOBAL
34,4.55015923,-74.08362212,32,San Blas,04,SAN CRISTOBAL
35,4.55164354,-74.08617267,32,San Blas,04,SAN CRISTOBAL
36,4.5519029,-74.08708519,32,San Blas,04,SAN CRISTOBAL
37,4.59126807,-74.06947391,94,La Candelaria,17,CANDELARIA
38,4.7370007,-74.0273858,11,San Cristobal Norte,01,USAQUEN
39,4.74505514,-74.03692213,12,Toberin,01,USAQUEN
40,4.75646593,-74.03146752,9,Verbenal,01,USAQUEN
41,4.76623454,-74.0241322,9,Verbenal,01,USAQUEN
42,4.64776595,-74.06485567,99,Chapinero,02,CHAPINERO
43,4.64699862,-74.05375253,90,Pardo Rubio,02,CHAPINERO
44,4.62893816,-74.06814838,99,Chapinero,02,CHAPINERO
45,4.66476412,-74.06059541,97,Chico Lago,02,CHAPINERO
46,4.68164117,-74.04774336,97,Chico Lago,02,CHAPINERO
47,4.59409504,-74.08150336,95,Las Cruces,03,SANTA FE
48,4.59295816,-74.0810975,95,Las Cruces,03,SANTA FE
49,4.5880997,-74.07991778,95,Las Cruces,03,SANTA FE
50,4.58893721,-74.07710612,95,Las Cruces,03,SANTA FE
51,4.58831036,-74.07766076,95,Las Cruces,03,SANTA FE
52,4.58707115,-74.07549664,96,Lourdes,03,SANTA FE
53,4.58794486,-74.07116173,96,Lourdes,03,SANTA FE
54,4.60223796,-74.07790196,93,Las Nieves,03,SANTA FE
55,4.5898167,-74.07891486,95,Las Cruces,03,SANTA FE
56,4.61012124,-74.07243832,93,Las Nieves,03,SANTA FE
57,4.54804226,-74.0938412,50,La Gloria,04,SAN CRISTOBAL
58,4.54641222,-74.08805835,50,La Gloria,04,SAN CRISTOBAL
59,4.55977898,-74.09680752,34,20 De Julio,04,SAN CRISTOBAL
60,4.55380337,-74.09650188,50,La Gloria,04,SAN CRISTOBAL
61,4.5550698,-74.0997442,50,La Gloria,04,SAN CRISTOBAL
62,4.55259427,-74.09819353,50,La Gloria,04,SAN CRISTOBAL
63,4.55472555,-74.09790308,50,La Gloria,04,SAN CRISTOBAL
64,4.55497731,-74.09725517,50,La Gloria,04,SAN CRISTOBAL
65,4.53256699,-74.08675127,51,Los Libertadores,04,SAN CRISTOBAL
66,4.740624,-74.03203368,12,Toberin,01,USAQUEN
67,4.63321133,-74.06625701,99,Chapinero,02,CHAPINERO
68,4.59477994,-74.08252262,95,Las Cruces,03,SANTA FE
69,4.61300835,-74.07138374,91,Sagrado Corazon,03,SANTA FE
70,4.76383103,-74.0274775,9,Verbenal,01,USAQUEN
71,4.75158084,-74.04639695,10,La Uribe,01,USAQUEN
72,4.5807604,-74.07794156,32,San Blas,04,SAN CRISTOBAL
73,4.63670688,-74.20355743,87,Tintal Sur,07,BOSA
74,4.64412612,-74.18669958,86,El Porvenir,07,BOSA
75,4.63413034,-74.20842121,87,Tintal Sur,07,BOSA
76,4.63487572,-74.20446958,87,Tintal Sur,07,BOSA
77,4.62631553,-74.20071495,84,Bosa Occidental,07,BOSA
78,4.63278872,-74.18979826,86,El Porvenir,07,BOSA
79,4.63646669,-74.19172923,86,El Porvenir,07,BOSA
80,4.63799797,-74.19267826,86,El Porvenir,07,BOSA
81,4.64395335,-74.19621604,86,El Porvenir,07,BOSA
82,4.6349155,-74.19490882,86,El Porvenir,07,BOSA
83,4.63567607,-74.19531809,86,El Porvenir,07,BOSA
84,4.63873207,-74.20408728,87,Tintal Sur,07,BOSA
85,4.63792729,-74.20581161,87,Tintal Sur,07,BOSA
86,4.60371943,-74.16681557,49,Apogeo,07,BOSA
87,4.60459361,-74.16581876,49,Apogeo,07,BOSA
88,4.59905191,-74.17774561,85,Bosa Central,07,BOSA
89,4.62924959,-74.19037339,84,Bosa Occidental,07,BOSA
90,4.63349763,-74.18288527,84,Bosa Occidental,07,BOSA
91,4.63412082,-74.18131985,84,Bosa Occidental,07,BOSA
92,4.63021181,-74.20674456,87,Tintal Sur,07,BOSA
93,4.63329981,-74.19185429,86,El Porvenir,07,BOSA
94,4.63325374,-74.19796341,86,El Porvenir,07,BOSA
95,4.63487161,-74.19883522,86,El Porvenir,07,BOSA
96,4.63957105,-74.20133581,86,El Porvenir,07,BOSA
97,4.61469262,-74.213123,85,Bosa Central,07,BOSA
98,4.61291088,-74.21181249,85,Bosa Central,07,BOSA
99,4.6091774,-74.20332826,85,Bosa Central,07,BOSA
100,4.60507123,-74.19143469,85,Bosa Central,07,BOSA
101,4.60051228,-74.19973513,85,Bosa Central,07,BOSA
102,4.60617276,-74.20915687,85,Bosa Central,07,BOSA
103,4.60965221,-74.2116878,85,Bosa Central,07,BOSA
104,4.61380814,-74.21225272,85,Bosa Central,07,BOSA
105,4.61432599,-74.21598027,85,Bosa Central,07,BOSA
106,4.61697572,-74.19654855,85,Bosa Central,07,BOSA
107,4.60598705,-74.1996233,85,Bosa Central,07,BOSA
108,4.62007285,-74.17984327,84,Bosa Occidental,07,BOSA
109,4.62133798,-74.18271622,84,Bosa Occidental,07,BOSA
110,4.62287358,-74.18224972,84,Bosa Occidental,07,BOSA
111,4.62512838,-74.18415186,84,Bosa Occidental,07,BOSA
112,4.61099086,-74.17876368,85,Bosa Central,07,BOSA
113,4.61011244,-74.17931848,85,Bosa Central,07,BOSA
114,4.62911812,-74.17758456,83,Las Margaritas,08,KENNEDY
115,4.59806646,-74.15601901,65,Arborizadora,19,CIUDAD BOLIVAR
116,4.6203247,-74.19868139,84,Bosa Occidental,07,BOSA
117,4.61001901,-74.18758374,85,Bosa Central,07,BOSA
118,4.6104512,-74.19410628,85,Bosa Central,07,BOSA
119,4.62222186,-74.19004194,84,Bosa Occidental,07,BOSA
120,4.6221896,-74.18163853,84,Bosa Occidental,07,BOSA
121,4.61998793,-74.18633669,84,Bosa Occidental,07,BOSA
122,4.61766597,-74.19587229,85,Bosa Central,07,BOSA
123,4.61658475,-74.19963361,85,Bosa Central,07,BOSA
124,4.6165099,-74.19994203,85,Bosa Central,07,BOSA
125,4.59864246,-74.18860599,85,Bosa Central,07,BOSA
126,4.59860596,-74.182168,85,Bosa Central,07,BOSA
127,4.5983951,-74.18467931,85,Bosa Central,07,BOSA
128,4.59835677,-74.18601746,85,Bosa Central,07,BOSA
129,4.62102224,-74.19109014,84,Bosa Occidental,07,BOSA
130,4.56803996,-74.16498953,70,Jerusalem,19,CIUDAD BOLIVAR
131,4.56740287,-74.16671246,70,Jerusalem,19,CIUDAD BOLIVAR
132,4.56611411,-74.16908627,70,Jerusalem,19,CIUDAD BOLIVAR
133,4.56628437,-74.16828556,70,Jerusalem,19,CIUDAD BOLIVAR
134,4.56469794,-74.16737793,70,Jerusalem,19,CIUDAD BOLIVAR
135,4.55287055,-74.15393707,67,Lucero,19,CIUDAD BOLIVAR
136,4.5637033,-74.13858863,62,Tunjuelito,06,TUNJUELITO
137,4.56002304,-74.13988003,67,Lucero,19,CIUDAD BOLIVAR
138,4.54122619,-74.13414522,68,El Tesoro,19,CIUDAD BOLIVAR
139,4.56140253,-74.14951011,66,San Francisco,19,CIUDAD BOLIVAR
140,4.56960433,-74.14729659,65,Arborizadora,19,CIUDAD BOLIVAR
141,4.56963461,-74.14824528,66,San Francisco,19,CIUDAD BOLIVAR
142,4.56578706,-74.14752258,66,San Francisco,19,CIUDAD BOLIVAR
143,4.56518501,-74.14319968,66,San Francisco,19,CIUDAD BOLIVAR
144,4.54845476,-74.13830592,67,Lucero,19,CIUDAD BOLIVAR
145,4.53978911,-74.13602277,68,El Tesoro,19,CIUDAD BOLIVAR
146,4.54797784,-74.13971903,67,Lucero,19,CIUDAD BOLIVAR
147,4.55728749,-74.14972942,67,Lucero,19,CIUDAD BOLIVAR
148,4.55312776,-74.14365698,67,Lucero,19,CIUDAD BOLIVAR
149,4.57021186,-74.14786472,65,Arborizadora,19,CIUDAD BOLIVAR
150,4.57424948,-74.14995932,65,Arborizadora,19,CIUDAD BOLIVAR
151,4.5763201,-74.15068547,65,Arborizadora,19,CIUDAD BOLIVAR
152,4.56964817,-74.14349007,65,Arborizadora,19,CIUDAD BOLIVAR
153,4.59050483,-74.16302012,69,Ismael Perdomo,19,CIUDAD BOLIVAR
154,4.57626804,-74.15536762,70,Jerusalem,19,CIUDAD BOLIVAR
155,4.56960433,-74.14728588,65,Arborizadora,19,CIUDAD BOLIVAR
156,4.5690862,-74.14660825,65,Arborizadora,19,CIUDAD BOLIVAR
157,4.56736956,-74.14416309,66,San Francisco,19,CIUDAD BOLIVAR
158,4.59069813,-74.15468109,65,Arborizadora,19,CIUDAD BOLIVAR
159,4.55533365,-74.14192491,67,Lucero,19,CIUDAD BOLIVAR
160,4.59284909,-74.17913237,69,Ismael Perdomo,19,CIUDAD BOLIVAR
161,4.5460648,-74.11317338,55,Diana Turbay,18,RAFAEL URIBE URIBE
162,4.57242432,-74.11349601,53,Marco Fidel Suarez,18,RAFAEL URIBE URIBE
163,4.56675493,-74.10938373,53,Marco Fidel Suarez,18,RAFAEL URIBE URIBE
164,4.57383241,-74.10006031,36,San Jose,18,RAFAEL URIBE URIBE
165,4.57458074,-74.10102888,36,San Jose,18,RAFAEL URIBE URIBE
166,4.57883027,-74.1063913,36,San Jose,18,RAFAEL URIBE URIBE
167,4.54652746,-74.11354529,55,Diana Turbay,18,RAFAEL URIBE URIBE
168,4.54290135,-74.11750203,55,Diana Turbay,18,RAFAEL URIBE URIBE
169,4.55100915,-74.10893086,55,Diana Turbay,18,RAFAEL URIBE URIBE
170,4.54951214,-74.11081558,55,Diana Turbay,18,RAFAEL URIBE URIBE
171,4.5545634,-74.10836663,54,Marruecos,18,RAFAEL URIBE URIBE
172,4.54855278,-74.10500524,55,Diana Turbay,18,RAFAEL URIBE URIBE
173,4.5549239,-74.11200326,54,Marruecos,18,RAFAEL URIBE URIBE
174,4.57734994,-74.11496915,39,Quiroga,18,RAFAEL URIBE URIBE
175,4.57845706,-74.11003582,39,Quiroga,18,RAFAEL URIBE URIBE
176,4.57541283,-74.10222227,36,San Jose,18,RAFAEL URIBE URIBE
177,4.57711787,-74.11432809,39,Quiroga,18,RAFAEL URIBE URIBE
178,4.57879576,-74.11015121,39,Quiroga,18,RAFAEL URIBE URIBE
179,4.55186596,-74.11796501,54,Marruecos,18,RAFAEL URIBE URIBE
180,4.55692458,-74.10790838,54,Marruecos,18,RAFAEL URIBE URIBE
181,4.57712228,-74.11486568,39,Quiroga,18,RAFAEL URIBE URIBE
182,4.59106052,-74.08788929,35,Ciudad Jardin,15,ANTONIO NARINO
183,4.59259157,-74.09137667,38,Restrepo,15,ANTONIO NARINO
184,4.5955504,-74.10252404,37,Santa Isabel,14,LOS MARTIRES
185,4.58901876,-74.10965322,38,Restrepo,15,ANTONIO NARINO
186,4.58477449,-74.12171369,39,Quiroga,18,RAFAEL URIBE URIBE
187,4.5828454,-74.11962809,39,Quiroga,18,RAFAEL URIBE URIBE
188,4.57947029,-74.12550637,39,Quiroga,18,RAFAEL URIBE URIBE
189,4.58874465,-74.11539425,38,Restrepo,15,ANTONIO NARINO
190,4.59073224,-74.09985384,38,Restrepo,15,ANTONIO NARINO
191,4.59047646,-74.0996565,38,Restrepo,15,ANTONIO NARINO
192,4.58838934,-74.1144055,39,Quiroga,18,RAFAEL URIBE URIBE
193,4.59348234,-74.09687169,38,Restrepo,15,ANTONIO NARINO
194,4.59325543,-74.09691369,38,Restrepo,15,ANTONIO NARINO
195,4.59288665,-74.09715149,38,Restrepo,15,ANTONIO NARINO
196,4.59386061,-74.11310426,38,Restrepo,15,ANTONIO NARINO
197,4.59330798,-74.11374464,38,Restrepo,15,ANTONIO NARINO
198,4.5928789,-74.11445097,38,Restrepo,15,ANTONIO NARINO
199,4.58463261,-74.12192667,39,Quiroga,18,RAFAEL URIBE URIBE
200,4.57761846,-74.09676685,35,Ciudad Jardin,15,ANTONIO NARINO
201,4.58165688,-74.10289074,39,Quiroga,18,RAFAEL URIBE URIBE
202,4.58192575,-74.10303955,38,Restrepo,15,ANTONIO NARINO
203,4.58261727,-74.1035323,38,Restrepo,15,ANTONIO NARINO
204,4.57825969,-74.09801368,35,Ciudad Jardin,15,ANTONIO NARINO
205,4.55840203,-74.1354002,67,Lucero,19,CIUDAD BOLIVAR
206,4.56669461,-74.13217423,62,Tunjuelito,06,TUNJUELITO
207,4.56128018,-74.13297333,62,Tunjuelito,06,TUNJUELITO
208,4.6448502,-74.11026398,111,Puente Aranda,16,PUENTE ARANDA
209,4.64991512,-74.06766487,100,Galerias,13,TEUSAQUILLO
210,4.63780386,-74.07473676,100,Galerias,13,TEUSAQUILLO
211,4.64625086,-74.06542384,100,Galerias,13,TEUSAQUILLO
212,4.61850005,-74.07137907,101,Teusaquillo,13,TEUSAQUILLO
213,4.61822299,-74.07515783,102,La Sabana,14,LOS MARTIRES
214,4.63332228,-74.08788742,107,Quinta Paredes,13,TEUSAQUILLO
215,4.60766766,-74.09702466,108,Zona Industrial,16,PUENTE ARANDA
216,4.6082811,-74.09235501,102,La Sabana,14,LOS MARTIRES
217,4.6008926,-74.09438731,37,Santa Isabel,14,LOS MARTIRES
218,4.60789721,-74.08980734,102,La Sabana,14,LOS MARTIRES
219,4.60624709,-74.08729177,102,La Sabana,14,LOS MARTIRES
220,4.60436452,-74.08044179,102,La Sabana,14,LOS MARTIRES
221,4.59814496,-74.08376907,93,Las Nieves,03,SANTA FE
222,4.59259157,-74.0913838,38,Restrepo,15,ANTONIO NARINO
223,4.59894682,-74.09043546,37,Santa Isabel,14,LOS MARTIRES
224,4.60053479,-74.08722914,102,La Sabana,14,LOS MARTIRES
225,4.60726428,-74.08144316,102,La Sabana,14,LOS MARTIRES
226,4.60932056,-74.07696902,102,La Sabana,14,LOS MARTIRES
227,4.61316943,-74.07830133,102,La Sabana,14,LOS MARTIRES
228,4.61261271,-74.07764238,102,La Sabana,14,LOS MARTIRES
229,4.62138175,-74.08110627,102,La Sabana,14,LOS MARTIRES
230,4.61217586,-74.08075531,102,La Sabana,14,LOS MARTIRES
231,4.61422557,-74.08121241,102,La Sabana,14,LOS MARTIRES
232,4.61574181,-74.08201342,102,La Sabana,14,LOS MARTIRES
233,4.61451813,-74.08353446,102,La Sabana,14,LOS MARTIRES
234,4.62505975,-74.09089904,108,Zona Industrial,16,PUENTE ARANDA
235,4.62558836,-74.08651657,107,Quinta Paredes,13,TEUSAQUILLO
236,4.6206157,-74.08644456,102,La Sabana,14,LOS MARTIRES
237,4.59605333,-74.11775437,41,Muzu,16,PUENTE ARANDA
238,4.6183652,-74.12448079,43,San Rafael,16,PUENTE ARANDA
239,4.59362625,-74.1266938,41,Muzu,16,PUENTE ARANDA
240,4.60727225,-74.09876042,108,Zona Industrial,16,PUENTE ARANDA
241,4.61895238,-74.10567049,108,Zona Industrial,16,PUENTE ARANDA
242,4.60685914,-74.10771824,40,Ciudad Montes,16,PUENTE ARANDA
243,4.58984154,-74.14517858,42,Venecia,06,TUNJUELITO
244,4.58392027,-74.13647999,42,Venecia,06,TUNJUELITO
245,4.5884598,-74.13761601,42,Venecia,06,TUNJUELITO
246,4.58679886,-74.14419606,42,Venecia,06,TUNJUELITO
247,4.56175112,-74.13861562,67,Lucero,19,CIUDAD BOLIVAR
248,4.56361678,-74.13904631,66,San Francisco,19,CIUDAD BOLIVAR
249,4.54029251,-74.13361156,68,El Tesoro,19,CIUDAD BOLIVAR
250,4.56163284,-74.13928881,66,San Francisco,19,CIUDAD BOLIVAR
251,4.56841122,-74.13748322,42,Venecia,06,TUNJUELITO
252,4.58529765,-74.0955522,38,Restrepo,15,ANTONIO NARINO
253,4.57889684,-74.1068586,36,San Jose,18,RAFAEL URIBE URIBE
254,4.57614135,-74.1179005,53,Marco Fidel Suarez,18,RAFAEL URIBE URIBE
255,4.57453254,-74.12324993,53,Marco Fidel Suarez,18,RAFAEL URIBE URIBE
256,4.56621242,-74.12681754,62,Tunjuelito,06,TUNJUELITO
257,4.56791016,-74.12645275,62,Tunjuelito,06,TUNJUELITO
258,4.54916468,-74.13925707,67,Lucero,19,CIUDAD BOLIVAR
259,4.63786874,-74.16386408,82,Patio Bonito,08,KENNEDY
260,4.6807475,-74.1274183,115,Capellania,09,FONTIBON
261,4.68537922,-74.1412315,75,Fontibon,09,FONTIBON
262,4.68732562,-74.14587753,75,Fontibon,09,FONTIBON
263,4.6191967,-74.15405161,47,Kennedy Central,08,KENNEDY
264,4.6253428,-74.16259005,80,Corabastos,08,KENNEDY
265,4.63121369,-74.16358323,80,Corabastos,08,KENNEDY
266,4.6312518,-74.16476281,80,Corabastos,08,KENNEDY
267,4.63820676,-74.16910832,82,Patio Bonito,08,KENNEDY
268,4.64767897,-74.1681486,79,Calandaima,08,KENNEDY
269,4.63710013,-74.1604329,82,Patio Bonito,08,KENNEDY
270,4.6574306,-74.1374514,46,Castilla,08,KENNEDY
271,4.60625196,-74.13675713,45,Carvajal,08,KENNEDY
272,4.60575881,-74.14044922,45,Carvajal,08,KENNEDY
273,4.62238577,-74.12710861,44,Americas,08,KENNEDY
274,4.61299978,-74.14265358,45,Carvajal,08,KENNEDY
275,4.61436004,-74.14125261,45,Carvajal,08,KENNEDY
276,4.68808579,-74.14765619,75,Fontibon,09,FONTIBON
277,4.68257328,-74.12686964,115,Capellania,09,FONTIBON
278,4.60462474,-74.13334615,45,Carvajal,08,KENNEDY
279,4.61339049,-74.18028831,81,Gran Britalia,08,KENNEDY
280,4.61609,-74.144554,45,Carvajal,08,KENNEDY
281,4.606172,-74.15019,48,Timiza,08,KENNEDY
282,4.656549,-74.138619,46,Castilla,08,KENNEDY
283,4.639724,-74.166914,82,Patio Bonito,08,KENNEDY
284,4.614885,-74.175104,81,Gran Britalia,08,KENNEDY
285,4.605319,-74.166138,48,Timiza,08,KENNEDY
286,4.622268,-74.126433,44,Americas,08,KENNEDY
287,4.634555,-74.162964,80,Corabastos,08,KENNEDY
288,4.652151,-74.141273,46,Castilla,08,KENNEDY
289,4.634753,-74.144992,46,Castilla,08,KENNEDY
290,4.639226,-74.158243,82,Patio Bonito,08,KENNEDY
291,4.607708,-74.146618,45,Carvajal,08,KENNEDY
292,4.622744,-74.163067,80,Corabastos,08,KENNEDY
293,4.631394,-74.163773,80,Corabastos,08,KENNEDY
294,4.616669,-74.178279,81,Gran Britalia,08,KENNEDY
295,4.651491,-74.175625,82,Patio Bonito,08,KENNEDY
296,4.599409,-74.136677,45,Carvajal,08,KENNEDY
297,4.635105,-74.156233,80,Corabastos,08,KENNEDY
298,4.596607,-74.151187,65,Arborizadora,19,CIUDAD BOLIVAR
299,4.605275,-74.167516,48,Timiza,08,KENNEDY
300,4.599893,-74.136258,45,Carvajal,08,KENNEDY
301,4.643632,-74.162077,82,Patio Bonito,08,KENNEDY
302,4.610196,-74.151884,48,Timiza,08,KENNEDY
303,4.607921,-74.164754,48,Timiza,08,KENNEDY
304,4.617316,-74.179152,81,Gran Britalia,08,KENNEDY
305,4.629564,-74.169425,82,Patio Bonito,08,KENNEDY
306,4.629663,-74.152563,47,Kennedy Central,08,KENNEDY
307,4.610771,-74.177776,48,Timiza,08,KENNEDY
308,4.636683,-74.175109,82,Patio Bonito,08,KENNEDY
309,4.624306,-74.124747,44,Americas,08,KENNEDY
310,4.609967,-74.130491,45,Carvajal,08,KENNEDY
311,4.60469,-74.142984,45,Carvajal,08,KENNEDY
312,4.602604,-74.15128,48,Timiza,08,KENNEDY
313,4.609768,-74.168956,48,Timiza,08,KENNEDY
