geography_level,geography_id,variable,cluster_type,statistic,p_value,significant
UPZ,75,deficit_aseo_relativo,No significativo,-0.644,0.07100000232458115,False
UPZ,22,deficit_aseo_relativo,No significativo,-0.125,0.36899998784065247,False
UPZ,114,deficit_aseo_relativo,No significativo,-0.774,0.0989999994635582,False
UPZ,103,deficit_aseo_relativo,"Hotspot (Gi* alto, sig.)",0.639,0.041999999433755875,True
UPZ,105,deficit_aseo_relativo,No significativo,-0.624,0.057999998331069946,False
UPZ,88,deficit_aseo_relativo,No significativo,-0.684,0.11900000274181366,False
UPZ,27,deficit_aseo_relativo,No significativo,-0.066,0.4950000047683716,False
UPZ,99,deficit_aseo_relativo,"Coldspot (Gi* bajo, sig.)",-1.345,0.0020000000949949026,True
UPZ,109,deficit_aseo_relativo,"Coldspot (Gi* bajo, sig.)",-0.69,0.04600000008940697,True
UPZ,90,deficit_aseo_relativo,"Coldspot (Gi* bajo, sig.)",-1.794,0.0010000000474974513,True
UPZ,33,deficit_aseo_relativo,No significativo,-0.067,0.39399999380111694,False
UPZ,102,deficit_aseo_relativo,"Coldspot (Gi* bajo, sig.)",-0.817,0.013000000268220901,True
UPZ,45,deficit_aseo_relativo,No significativo,0.309,0.16099999845027924,False
UPZ,93,deficit_aseo_relativo,No significativo,-0.315,0.20100000500679016,False
UPZ,72,deficit_aseo_relativo,No significativo,0.242,0.2750000059604645,False
UPZ,15,deficit_aseo_relativo,No significativo,0.61,0.08900000154972076,False
UPZ,16,deficit_aseo_relativo,"Coldspot (Gi* bajo, sig.)",-0.895,0.020999999716877937,True
UPZ,21,deficit_aseo_relativo,"Coldspot (Gi* bajo, sig.)",-0.972,0.013000000268220901,True
UPZ,89,deficit_aseo_relativo,No significativo,,0.0010000000474974513,True
UPZ,106,deficit_aseo_relativo,No significativo,-0.442,0.1860000044107437,False
UPZ,86,deficit_aseo_relativo,No significativo,-0.429,0.28200000524520874,False
UPZ,82,deficit_aseo_relativo,No significativo,0.079,0.39800000190734863,False
UPZ,37,deficit_aseo_relativo,No significativo,-0.457,0.12099999934434891,False
UPZ,49,deficit_aseo_relativo,No significativo,-0.157,0.4090000092983246,False
UPZ,19,deficit_aseo_relativo,"Coldspot (Gi* bajo, sig.)",-0.705,0.02199999988079071,True
UPZ,24,deficit_aseo_relativo,No significativo,-0.584,0.0689999982714653,False
UPZ,23,deficit_aseo_relativo,No significativo,0.543,0.11500000208616257,False
UPZ,110,deficit_aseo_relativo,No significativo,-0.43,0.10100000351667404,False
UPZ,100,deficit_aseo_relativo,"Coldspot (Gi* bajo, sig.)",-1.077,0.009999999776482582,True
UPZ,83,deficit_aseo_relativo,No significativo,0.448,0.2160000056028366,False
UPZ,107,deficit_aseo_relativo,"Coldspot (Gi* bajo, sig.)",-0.684,0.04500000178813934,True
UPZ,101,deficit_aseo_relativo,"Coldspot (Gi* bajo, sig.)",-1.043,0.003000000026077032,True
UPZ,91,deficit_aseo_relativo,"Coldspot (Gi* bajo, sig.)",-0.833,0.026000000536441803,True
