geography_level,geography_id,variable,method,statistic,p_value,significant,cluster_type
UPZ,,deficit_aseo_relativo,Moran Global,0.4073,0.001,True,
UPZ,,densidad_puntos_criticos_km2,Moran Global,0.2845,0.001,True,
UPZ,,densidad_incidentes_km2,Moran Global,0.2936,0.001,True,
UPZ,,densidad_cuadrantes_km2,Moran Global,0.5752,0.001,True,
UPZ,,estrato_promedio_oficial,Moran Global,0.6986,0.001,True,
UPZ,,estrato_promedio_reportado,Moran Global,0.7893,0.001,True,
Localidad,,deficit_aseo_relativo,Moran Global,0.2689,0.022,True,
Localidad,,densidad_puntos_criticos_km2,Moran Global,0.1198,0.121,False,
Localidad,,densidad_homicidios_km2,Moran Global,0.0853,0.136,False,
Localidad,,densidad_incidentes_km2,Moran Global,0.1523,0.079,False,
UPZ,,deficit_aseo_relativo <-> densidad_puntos_criticos_km2,Moran Bivariado,-0.0074,0.476,False,
UPZ,,densidad_puntos_criticos_km2 <-> densidad_incidentes_km2,Moran Bivariado,0.1056,0.029,True,
UPZ,,estrato_promedio_oficial <-> deficit_aseo_relativo,Moran Bivariado,-0.381,0.001,True,
Localidad,,deficit_aseo_relativo <-> densidad_puntos_criticos_km2,Moran Bivariado,-0.0728,0.335,False,
Localidad,,densidad_puntos_criticos_km2 <-> densidad_homicidios_km2,Moran Bivariado,0.136,0.08,False,
UPZ,75,deficit_aseo_relativo,Moran Local (LISA),0.2636,0.071,False,No significativo
UPZ,22,deficit_aseo_relativo,Moran Local (LISA),0.082,0.369,False,No significativo
UPZ,114,deficit_aseo_relativo,Moran Local (LISA),0.6937,0.099,False,No significativo
UPZ,103,deficit_aseo_relativo,Moran Local (LISA),-0.3504,0.042,True,High-Low
UPZ,105,deficit_aseo_relativo,Moran Local (LISA),0.2099,0.058,False,No significativo
UPZ,88,deficit_aseo_relativo,Moran Local (LISA),0.4188,0.119,False,No significativo
UPZ,27,deficit_aseo_relativo,Moran Local (LISA),0.0249,0.495,False,No significativo
UPZ,99,deficit_aseo_relativo,Moran Local (LISA),3.2925,0.002,True,Low-Low
UPZ,109,deficit_aseo_relativo,Moran Local (LISA),0.9671,0.046,True,Low-Low
UPZ,90,deficit_aseo_relativo,Moran Local (LISA),0.0178,0.001,True,Low-Low
UPZ,33,deficit_aseo_relativo,Moran Local (LISA),0.0607,0.394,False,No significativo
UPZ,102,deficit_aseo_relativo,Moran Local (LISA),0.6402,0.013,True,Low-Low
UPZ,45,deficit_aseo_relativo,Moran Local (LISA),-0.0504,0.161,False,No significativo
UPZ,93,deficit_aseo_relativo,Moran Local (LISA),0.1751,0.201,False,No significativo
UPZ,72,deficit_aseo_relativo,Moran Local (LISA),-0.2125,0.275,False,No significativo
UPZ,15,deficit_aseo_relativo,Moran Local (LISA),-0.4299,0.089,False,No significativo
UPZ,16,deficit_aseo_relativo,Moran Local (LISA),0.2327,0.021,True,Low-Low
UPZ,21,deficit_aseo_relativo,Moran Local (LISA),0.4715,0.013,True,Low-Low
UPZ,89,deficit_aseo_relativo,Moran Local (LISA),0.0,0.001,True,High-Low
UPZ,106,deficit_aseo_relativo,Moran Local (LISA),0.6276,0.186,False,No significativo
UPZ,86,deficit_aseo_relativo,Moran Local (LISA),0.2105,0.282,False,No significativo
UPZ,82,deficit_aseo_relativo,Moran Local (LISA),-0.0934,0.398,False,No significativo
UPZ,37,deficit_aseo_relativo,Moran Local (LISA),0.7717,0.121,False,No significativo
UPZ,49,deficit_aseo_relativo,Moran Local (LISA),0.0494,0.409,False,No significativo
UPZ,19,deficit_aseo_relativo,Moran Local (LISA),0.9553,0.022,True,Low-Low
UPZ,24,deficit_aseo_relativo,Moran Local (LISA),0.3872,0.069,False,No significativo
UPZ,23,deficit_aseo_relativo,Moran Local (LISA),-0.0412,0.115,False,No significativo
UPZ,110,deficit_aseo_relativo,Moran Local (LISA),0.9238,0.101,False,No significativo
UPZ,100,deficit_aseo_relativo,Moran Local (LISA),1.2177,0.01,True,Low-Low
UPZ,83,deficit_aseo_relativo,Moran Local (LISA),-0.2291,0.216,False,No significativo
UPZ,107,deficit_aseo_relativo,Moran Local (LISA),0.8662,0.045,True,Low-Low
UPZ,101,deficit_aseo_relativo,Moran Local (LISA),1.7833,0.003,True,Low-Low
UPZ,91,deficit_aseo_relativo,Moran Local (LISA),1.2116,0.026,True,Low-Low
UPZ,108,deficit_aseo_relativo,Moran Local (LISA),-0.0714,0.019,True,High-Low
