year,geography_level,geography_id,variable,value
2017,UPZ,1.0,emergencies,1.0
2018,UPZ,1.0,emergencies,93.0
2019,UPZ,1.0,emergencies,104.0
2020,UPZ,1.0,emergencies,34.0
2016,UPZ,2.0,emergencies,40.0
2017,UPZ,2.0,emergencies,25.0
2018,UPZ,2.0,emergencies,79.0
2019,UPZ,2.0,emergencies,20.0
2020,UPZ,2.0,emergencies,4.0
2016,UPZ,3.0,emergencies,1.0
2017,UPZ,3.0,emergencies,2.0
2018,UPZ,3.0,emergencies,46.0
2019,UPZ,3.0,emergencies,95.0
2020,UPZ,3.0,emergencies,37.0
2018,UPZ,9.0,emergencies,280.0
2019,UPZ,9.0,emergencies,313.0
2020,UPZ,9.0,emergencies,200.0
2016,UPZ,10.0,emergencies,357.0
2017,UPZ,10.0,emergencies,369.0
2018,UPZ,10.0,emergencies,160.0
2019,UPZ,10.0,emergencies,166.0
2020,UPZ,10.0,emergencies,117.0
2016,UPZ,11.0,emergencies,99.0
2017,UPZ,11.0,emergencies,72.0
2018,UPZ,11.0,emergencies,234.0
2019,UPZ,11.0,emergencies,266.0
2020,UPZ,11.0,emergencies,143.0
2016,UPZ,12.0,emergencies,273.0
2017,UPZ,12.0,emergencies,203.0
2018,UPZ,12.0,emergencies,291.0
2019,UPZ,12.0,emergencies,234.0
2020,UPZ,12.0,emergencies,174.0
2016,UPZ,13.0,emergencies,204.0
2017,UPZ,13.0,emergencies,225.0
2018,UPZ,13.0,emergencies,677.0
2019,UPZ,13.0,emergencies,849.0
2020,UPZ,13.0,emergencies,457.0
2016,UPZ,14.0,emergencies,908.0
2017,UPZ,14.0,emergencies,757.0
2018,UPZ,14.0,emergencies,516.0
2019,UPZ,14.0,emergencies,431.0
2020,UPZ,14.0,emergencies,158.0
2016,UPZ,15.0,emergencies,439.0
2017,UPZ,15.0,emergencies,410.0
2018,UPZ,15.0,emergencies,214.0
2019,UPZ,15.0,emergencies,174.0
2020,UPZ,15.0,emergencies,92.0
2016,UPZ,16.0,emergencies,173.0
2017,UPZ,16.0,emergencies,170.0
2018,UPZ,16.0,emergencies,430.0
2019,UPZ,16.0,emergencies,581.0
2020,UPZ,16.0,emergencies,228.0
2016,UPZ,17.0,emergencies,528.0
2017,UPZ,17.0,emergencies,467.0
2018,UPZ,17.0,emergencies,419.0
2019,UPZ,17.0,emergencies,334.0
2020,UPZ,17.0,emergencies,141.0
2016,UPZ,18.0,emergencies,545.0
2017,UPZ,18.0,emergencies,593.0
2018,UPZ,18.0,emergencies,371.0
2019,UPZ,18.0,emergencies,483.0
2020,UPZ,18.0,emergencies,225.0
2016,UPZ,19.0,emergencies,337.0
2017,UPZ,19.0,emergencies,314.0
2018,UPZ,19.0,emergencies,451.0
2019,UPZ,19.0,emergencies,468.0
2020,UPZ,19.0,emergencies,232.0
2016,UPZ,20.0,emergencies,495.0
2017,UPZ,20.0,emergencies,409.0
2018,UPZ,20.0,emergencies,278.0
2019,UPZ,20.0,emergencies,180.0
2020,UPZ,20.0,emergencies,131.0
2016,UPZ,21.0,emergencies,251.0
2017,UPZ,21.0,emergencies,240.0
2018,UPZ,21.0,emergencies,264.0
2019,UPZ,21.0,emergencies,274.0
2020,UPZ,21.0,emergencies,106.0
2016,UPZ,22.0,emergencies,245.0
2017,UPZ,22.0,emergencies,227.0
2018,UPZ,22.0,emergencies,322.0
2019,UPZ,22.0,emergencies,305.0
2020,UPZ,22.0,emergencies,165.0
2016,UPZ,23.0,emergencies,372.0
2017,UPZ,23.0,emergencies,328.0
2018,UPZ,23.0,emergencies,270.0
2019,UPZ,23.0,emergencies,206.0
2020,UPZ,23.0,emergencies,138.0
2016,UPZ,24.0,emergencies,210.0
2017,UPZ,24.0,emergencies,164.0
2018,UPZ,24.0,emergencies,462.0
2019,UPZ,24.0,emergencies,523.0
2020,UPZ,24.0,emergencies,228.0
2016,UPZ,25.0,emergencies,423.0
2017,UPZ,25.0,emergencies,409.0
2018,UPZ,25.0,emergencies,244.0
2019,UPZ,25.0,emergencies,229.0
2020,UPZ,25.0,emergencies,103.0
2016,UPZ,26.0,emergencies,228.0
2017,UPZ,26.0,emergencies,219.0
2018,UPZ,26.0,emergencies,608.0
2019,UPZ,26.0,emergencies,798.0
2020,UPZ,26.0,emergencies,308.0
2016,UPZ,27.0,emergencies,789.0
2017,UPZ,27.0,emergencies,709.0
2018,UPZ,27.0,emergencies,737.0
2019,UPZ,27.0,emergencies,644.0
2020,UPZ,27.0,emergencies,343.0
2016,UPZ,28.0,emergencies,636.0
2017,UPZ,28.0,emergencies,546.0
2018,UPZ,28.0,emergencies,696.0
2019,UPZ,28.0,emergencies,747.0
2020,UPZ,28.0,emergencies,405.0
2016,UPZ,29.0,emergencies,888.0
2017,UPZ,29.0,emergencies,902.0
2018,UPZ,29.0,emergencies,574.0
2019,UPZ,29.0,emergencies,364.0
2020,UPZ,29.0,emergencies,203.0
2016,UPZ,30.0,emergencies,480.0
2017,UPZ,30.0,emergencies,417.0
2018,UPZ,30.0,emergencies,565.0
2019,UPZ,30.0,emergencies,437.0
2020,UPZ,30.0,emergencies,240.0
2016,UPZ,31.0,emergencies,528.0
2017,UPZ,31.0,emergencies,402.0
2018,UPZ,31.0,emergencies,353.0
2019,UPZ,31.0,emergencies,238.0
2020,UPZ,31.0,emergencies,131.0
2016,UPZ,32.0,emergencies,312.0
2017,UPZ,32.0,emergencies,267.0
2018,UPZ,32.0,emergencies,497.0
2019,UPZ,32.0,emergencies,493.0
2020,UPZ,32.0,emergencies,301.0
2016,UPZ,33.0,emergencies,741.0
2017,UPZ,33.0,emergencies,521.0
2018,UPZ,33.0,emergencies,232.0
2019,UPZ,33.0,emergencies,280.0
2020,UPZ,33.0,emergencies,145.0
2016,UPZ,34.0,emergencies,302.0
2017,UPZ,34.0,emergencies,258.0
2018,UPZ,34.0,emergencies,385.0
2019,UPZ,34.0,emergencies,451.0
2020,UPZ,34.0,emergencies,207.0
2016,UPZ,35.0,emergencies,418.0
2017,UPZ,35.0,emergencies,325.0
2018,UPZ,35.0,emergencies,149.0
2019,UPZ,35.0,emergencies,112.0
2020,UPZ,35.0,emergencies,80.0
2016,UPZ,36.0,emergencies,131.0
2017,UPZ,36.0,emergencies,74.0
2018,UPZ,36.0,emergencies,203.0
2019,UPZ,36.0,emergencies,230.0
2020,UPZ,36.0,emergencies,141.0
2016,UPZ,37.0,emergencies,166.0
2017,UPZ,37.0,emergencies,167.0
2018,UPZ,37.0,emergencies,228.0
2019,UPZ,37.0,emergencies,187.0
2020,UPZ,37.0,emergencies,149.0
2016,UPZ,38.0,emergencies,247.0
2017,UPZ,38.0,emergencies,187.0
2018,UPZ,38.0,emergencies,633.0
2019,UPZ,38.0,emergencies,836.0
2020,UPZ,38.0,emergencies,365.0
2016,UPZ,39.0,emergencies,561.0
2017,UPZ,39.0,emergencies,606.0
2018,UPZ,39.0,emergencies,594.0
2019,UPZ,39.0,emergencies,465.0
2020,UPZ,39.0,emergencies,343.0
2016,UPZ,40.0,emergencies,378.0
2017,UPZ,40.0,emergencies,434.0
2018,UPZ,40.0,emergencies,421.0
2019,UPZ,40.0,emergencies,322.0
2020,UPZ,40.0,emergencies,261.0
2016,UPZ,41.0,emergencies,276.0
2017,UPZ,41.0,emergencies,273.0
2018,UPZ,41.0,emergencies,186.0
2019,UPZ,41.0,emergencies,166.0
2020,UPZ,41.0,emergencies,83.0
2016,UPZ,42.0,emergencies,164.0
2017,UPZ,42.0,emergencies,165.0
2018,UPZ,42.0,emergencies,534.0
2019,UPZ,42.0,emergencies,707.0
2020,UPZ,42.0,emergencies,339.0
2016,UPZ,43.0,emergencies,644.0
2017,UPZ,43.0,emergencies,756.0
2018,UPZ,43.0,emergencies,393.0
2019,UPZ,43.0,emergencies,374.0
2020,UPZ,43.0,emergencies,216.0
2016,UPZ,44.0,emergencies,243.0
2017,UPZ,44.0,emergencies,279.0
2018,UPZ,44.0,emergencies,350.0
2019,UPZ,44.0,emergencies,308.0
2020,UPZ,44.0,emergencies,188.0
2016,UPZ,45.0,emergencies,624.0
2017,UPZ,45.0,emergencies,475.0
2018,UPZ,45.0,emergencies,381.0
2019,UPZ,45.0,emergencies,438.0
2020,UPZ,45.0,emergencies,260.0
2016,UPZ,46.0,emergencies,421.0
2017,UPZ,46.0,emergencies,369.0
2018,UPZ,46.0,emergencies,372.0
2019,UPZ,46.0,emergencies,515.0
2020,UPZ,46.0,emergencies,281.0
2016,UPZ,47.0,emergencies,448.0
2017,UPZ,47.0,emergencies,434.0
2018,UPZ,47.0,emergencies,558.0
2019,UPZ,47.0,emergencies,709.0
2020,UPZ,47.0,emergencies,397.0
2016,UPZ,48.0,emergencies,268.0
2017,UPZ,48.0,emergencies,384.0
2018,UPZ,48.0,emergencies,319.0
2019,UPZ,48.0,emergencies,361.0
2020,UPZ,48.0,emergencies,236.0
2016,UPZ,49.0,emergencies,350.0
2017,UPZ,49.0,emergencies,388.0
2018,UPZ,49.0,emergencies,170.0
2019,UPZ,49.0,emergencies,107.0
2020,UPZ,49.0,emergencies,59.0
2016,UPZ,50.0,emergencies,61.0
2017,UPZ,50.0,emergencies,65.0
2018,UPZ,50.0,emergencies,423.0
2019,UPZ,50.0,emergencies,557.0
2020,UPZ,50.0,emergencies,247.0
2016,UPZ,51.0,emergencies,508.0
2017,UPZ,51.0,emergencies,465.0
2018,UPZ,51.0,emergencies,381.0
2019,UPZ,51.0,emergencies,334.0
2020,UPZ,51.0,emergencies,199.0
2016,UPZ,52.0,emergencies,354.0
2017,UPZ,52.0,emergencies,351.0
2018,UPZ,52.0,emergencies,135.0
2019,UPZ,52.0,emergencies,108.0
2020,UPZ,52.0,emergencies,48.0
2016,UPZ,53.0,emergencies,122.0
2017,UPZ,53.0,emergencies,119.0
2018,UPZ,53.0,emergencies,175.0
2019,UPZ,53.0,emergencies,172.0
2020,UPZ,53.0,emergencies,95.0
2016,UPZ,54.0,emergencies,197.0
2017,UPZ,54.0,emergencies,181.0
2018,UPZ,54.0,emergencies,251.0
2019,UPZ,54.0,emergencies,275.0
2020,UPZ,54.0,emergencies,152.0
2016,UPZ,55.0,emergencies,268.0
2017,UPZ,55.0,emergencies,204.0
2018,UPZ,55.0,emergencies,208.0
2019,UPZ,55.0,emergencies,168.0
2020,UPZ,55.0,emergencies,117.0
2016,UPZ,56.0,emergencies,135.0
2017,UPZ,56.0,emergencies,135.0
2018,UPZ,56.0,emergencies,163.0
2019,UPZ,56.0,emergencies,173.0
2020,UPZ,56.0,emergencies,85.0
2016,UPZ,57.0,emergencies,160.0
2017,UPZ,57.0,emergencies,147.0
2018,UPZ,57.0,emergencies,576.0
2019,UPZ,57.0,emergencies,678.0
2020,UPZ,57.0,emergencies,314.0
2016,UPZ,58.0,emergencies,528.0
2017,UPZ,58.0,emergencies,442.0
2018,UPZ,58.0,emergencies,359.0
2019,UPZ,58.0,emergencies,355.0
2020,UPZ,58.0,emergencies,223.0
2016,UPZ,59.0,emergencies,455.0
2017,UPZ,59.0,emergencies,460.0
2018,UPZ,59.0,emergencies,229.0
2019,UPZ,59.0,emergencies,78.0
2020,UPZ,59.0,emergencies,84.0
2016,UPZ,60.0,emergencies,115.0
2017,UPZ,60.0,emergencies,128.0
2018,UPZ,60.0,emergencies,30.0
2019,UPZ,60.0,emergencies,41.0
2020,UPZ,60.0,emergencies,24.0
2016,UPZ,61.0,emergencies,43.0
2017,UPZ,61.0,emergencies,32.0
2018,UPZ,61.0,emergencies,98.0
2019,UPZ,61.0,emergencies,183.0
2020,UPZ,61.0,emergencies,94.0
2018,UPZ,62.0,emergencies,170.0
2019,UPZ,62.0,emergencies,247.0
2020,UPZ,62.0,emergencies,164.0
2016,UPZ,63.0,emergencies,291.0
2017,UPZ,63.0,emergencies,190.0
2018,UPZ,63.0,emergencies,83.0
2019,UPZ,63.0,emergencies,39.0
2020,UPZ,63.0,emergencies,23.0
2016,UPZ,64.0,emergencies,9.0
2017,UPZ,64.0,emergencies,18.0
2018,UPZ,64.0,emergencies,18.0
2019,UPZ,64.0,emergencies,5.0
2020,UPZ,64.0,emergencies,6.0
2016,UPZ,65.0,emergencies,13.0
2017,UPZ,65.0,emergencies,4.0
2018,UPZ,65.0,emergencies,237.0
2019,UPZ,65.0,emergencies,302.0
2020,UPZ,65.0,emergencies,125.0
2016,UPZ,66.0,emergencies,259.0
2017,UPZ,66.0,emergencies,183.0
2018,UPZ,66.0,emergencies,309.0
2019,UPZ,66.0,emergencies,444.0
2020,UPZ,66.0,emergencies,186.0
2016,UPZ,67.0,emergencies,456.0
2017,UPZ,67.0,emergencies,501.0
2018,UPZ,67.0,emergencies,598.0
2019,UPZ,67.0,emergencies,535.0
2020,UPZ,67.0,emergencies,340.0
2016,UPZ,68.0,emergencies,543.0
2017,UPZ,68.0,emergencies,549.0
2018,UPZ,68.0,emergencies,276.0
2019,UPZ,68.0,emergencies,236.0
2020,UPZ,68.0,emergencies,102.0
2016,UPZ,69.0,emergencies,348.0
2017,UPZ,69.0,emergencies,284.0
2018,UPZ,69.0,emergencies,437.0
2019,UPZ,69.0,emergencies,494.0
2020,UPZ,69.0,emergencies,294.0
2016,UPZ,70.0,emergencies,348.0
2017,UPZ,70.0,emergencies,374.0
2018,UPZ,70.0,emergencies,276.0
2019,UPZ,70.0,emergencies,272.0
2020,UPZ,70.0,emergencies,152.0
2016,UPZ,71.0,emergencies,139.0
2017,UPZ,71.0,emergencies,206.0
2018,UPZ,71.0,emergencies,444.0
2019,UPZ,71.0,emergencies,529.0
2020,UPZ,71.0,emergencies,315.0
2016,UPZ,72.0,emergencies,544.0
2017,UPZ,72.0,emergencies,510.0
2018,UPZ,72.0,emergencies,375.0
2019,UPZ,72.0,emergencies,267.0
2020,UPZ,72.0,emergencies,146.0
2016,UPZ,73.0,emergencies,273.0
2017,UPZ,73.0,emergencies,265.0
2018,UPZ,73.0,emergencies,627.0
2019,UPZ,73.0,emergencies,762.0
2020,UPZ,73.0,emergencies,367.0
2016,UPZ,74.0,emergencies,819.0
2017,UPZ,74.0,emergencies,819.0
2018,UPZ,74.0,emergencies,395.0
2019,UPZ,74.0,emergencies,340.0
2020,UPZ,74.0,emergencies,235.0
2016,UPZ,75.0,emergencies,344.0
2017,UPZ,75.0,emergencies,314.0
2018,UPZ,75.0,emergencies,788.0
2019,UPZ,75.0,emergencies,873.0
2020,UPZ,75.0,emergencies,452.0
2016,UPZ,76.0,emergencies,924.0
2017,UPZ,76.0,emergencies,727.0
2018,UPZ,76.0,emergencies,257.0
2019,UPZ,76.0,emergencies,149.0
2020,UPZ,76.0,emergencies,120.0
2016,UPZ,77.0,emergencies,155.0
2017,UPZ,77.0,emergencies,171.0
2018,UPZ,77.0,emergencies,154.0
2019,UPZ,77.0,emergencies,189.0
2020,UPZ,77.0,emergencies,120.0
2016,UPZ,78.0,emergencies,73.0
2017,UPZ,78.0,emergencies,87.0
2018,UPZ,78.0,emergencies,61.0
2019,UPZ,78.0,emergencies,122.0
2020,UPZ,78.0,emergencies,50.0
2016,UPZ,79.0,emergencies,18.0
2017,UPZ,79.0,emergencies,20.0
2018,UPZ,79.0,emergencies,114.0
2019,UPZ,79.0,emergencies,111.0
2020,UPZ,79.0,emergencies,102.0
2016,UPZ,80.0,emergencies,74.0
2017,UPZ,80.0,emergencies,103.0
2018,UPZ,80.0,emergencies,145.0
2019,UPZ,80.0,emergencies,134.0
2020,UPZ,80.0,emergencies,111.0
2016,UPZ,81.0,emergencies,141.0
2017,UPZ,81.0,emergencies,140.0
2018,UPZ,81.0,emergencies,183.0
2019,UPZ,81.0,emergencies,120.0
2020,UPZ,81.0,emergencies,86.0
2016,UPZ,82.0,emergencies,133.0
2017,UPZ,82.0,emergencies,121.0
2018,UPZ,82.0,emergencies,351.0
2019,UPZ,82.0,emergencies,354.0
2020,UPZ,82.0,emergencies,214.0
2016,UPZ,83.0,emergencies,418.0
2017,UPZ,83.0,emergencies,389.0
2018,UPZ,83.0,emergencies,126.0
2019,UPZ,83.0,emergencies,59.0
2020,UPZ,83.0,emergencies,36.0
2016,UPZ,84.0,emergencies,27.0
2017,UPZ,84.0,emergencies,18.0
2018,UPZ,84.0,emergencies,506.0
2019,UPZ,84.0,emergencies,700.0
2020,UPZ,84.0,emergencies,355.0
2016,UPZ,85.0,emergencies,555.0
2017,UPZ,85.0,emergencies,715.0
2018,UPZ,85.0,emergencies,716.0
2019,UPZ,85.0,emergencies,766.0
2020,UPZ,85.0,emergencies,427.0
2016,UPZ,86.0,emergencies,705.0
2017,UPZ,86.0,emergencies,707.0
2018,UPZ,86.0,emergencies,348.0
2019,UPZ,86.0,emergencies,296.0
2020,UPZ,86.0,emergencies,142.0
2016,UPZ,87.0,emergencies,213.0
2017,UPZ,87.0,emergencies,220.0
2018,UPZ,87.0,emergencies,175.0
2019,UPZ,87.0,emergencies,228.0
2020,UPZ,87.0,emergencies,136.0
2016,UPZ,88.0,emergencies,21.0
2017,UPZ,88.0,emergencies,20.0
2018,UPZ,88.0,emergencies,264.0
2019,UPZ,88.0,emergencies,344.0
2020,UPZ,88.0,emergencies,160.0
2016,UPZ,89.0,emergencies,297.0
2017,UPZ,89.0,emergencies,275.0
2018,UPZ,89.0,emergencies,135.0
2019,UPZ,89.0,emergencies,111.0
2020,UPZ,89.0,emergencies,72.0
2016,UPZ,90.0,emergencies,191.0
2017,UPZ,90.0,emergencies,101.0
2018,UPZ,90.0,emergencies,284.0
2019,UPZ,90.0,emergencies,359.0
2020,UPZ,90.0,emergencies,263.0
2016,UPZ,91.0,emergencies,400.0
2017,UPZ,91.0,emergencies,414.0
2018,UPZ,91.0,emergencies,227.0
2019,UPZ,91.0,emergencies,296.0
2020,UPZ,91.0,emergencies,111.0
2016,UPZ,92.0,emergencies,214.0
2017,UPZ,92.0,emergencies,180.0
2018,UPZ,92.0,emergencies,225.0
2019,UPZ,92.0,emergencies,206.0
2020,UPZ,92.0,emergencies,110.0
2016,UPZ,93.0,emergencies,223.0
2017,UPZ,93.0,emergencies,201.0
2018,UPZ,93.0,emergencies,481.0
2019,UPZ,93.0,emergencies,523.0
2020,UPZ,93.0,emergencies,192.0
2016,UPZ,94.0,emergencies,412.0
2017,UPZ,94.0,emergencies,426.0
2018,UPZ,94.0,emergencies,593.0
2019,UPZ,94.0,emergencies,686.0
2020,UPZ,94.0,emergencies,221.0
2016,UPZ,95.0,emergencies,673.0
2017,UPZ,95.0,emergencies,696.0
2018,UPZ,95.0,emergencies,272.0
2019,UPZ,95.0,emergencies,144.0
2020,UPZ,95.0,emergencies,105.0
2018,UPZ,96.0,emergencies,214.0
2019,UPZ,96.0,emergencies,264.0
2020,UPZ,96.0,emergencies,211.0
2016,UPZ,97.0,emergencies,462.0
2017,UPZ,97.0,emergencies,444.0
2018,UPZ,97.0,emergencies,690.0
2019,UPZ,97.0,emergencies,703.0
2020,UPZ,97.0,emergencies,322.0
2016,UPZ,98.0,emergencies,848.0
2017,UPZ,98.0,emergencies,743.0
2018,UPZ,98.0,emergencies,425.0
2019,UPZ,98.0,emergencies,364.0
2020,UPZ,98.0,emergencies,231.0
2016,UPZ,99.0,emergencies,454.0
2017,UPZ,99.0,emergencies,377.0
2018,UPZ,99.0,emergencies,867.0
2019,UPZ,99.0,emergencies,931.0
2020,UPZ,99.0,emergencies,383.0
2016,UPZ,100.0,emergencies,827.0
2017,UPZ,100.0,emergencies,825.0
2018,UPZ,100.0,emergencies,515.0
2019,UPZ,100.0,emergencies,625.0
2020,UPZ,100.0,emergencies,244.0
2016,UPZ,101.0,emergencies,410.0
2017,UPZ,101.0,emergencies,466.0
2018,UPZ,101.0,emergencies,368.0
2019,UPZ,101.0,emergencies,261.0
2020,UPZ,101.0,emergencies,150.0
2016,UPZ,102.0,emergencies,381.0
2017,UPZ,102.0,emergencies,347.0
2018,UPZ,102.0,emergencies,788.0
2019,UPZ,102.0,emergencies,1030.0
2020,UPZ,102.0,emergencies,528.0
2016,UPZ,103.0,emergencies,1179.0
2017,UPZ,103.0,emergencies,957.0
2018,UPZ,103.0,emergencies,222.0
2019,UPZ,103.0,emergencies,84.0
2020,UPZ,103.0,emergencies,39.0
2016,UPZ,104.0,emergencies,71.0
2017,UPZ,104.0,emergencies,222.0
2018,UPZ,104.0,emergencies,215.0
2019,UPZ,104.0,emergencies,190.0
2020,UPZ,104.0,emergencies,42.0
2016,UPZ,105.0,emergencies,132.0
