fuente,transformacion,motivo,registros_afectados
IRUPZ,"excluir fila código UPZ999 (""Sin Localización"")","geometría nula/inválida y fuera de Bogotá; es un bucket administrativo de ""sin ubicar"", no una localidad/UPZ real (verificado en auditoría)",1
IRUPZ,excluir CMIUUPLA con prefijo 'UPR' (rural),UPR (Unidad de Planeamiento Rural) reutiliza la misma numeración que UPZ (ej. UPZ3='Guaymaral' vs UPR3='Rio Tunjuelo') -- si se extrae solo el número quedan códigos duplicados y se fusionan zonas distintas; además zona rural está fuera del alcance declarado del proyecto (estratificación 1-6 solo aplica a suelo urbano),4
IRUPZ,reproyección EPSG:4686 -> EPSG:4326,unificar CRS para joins espaciales,112
IRLoc,"excluir fila código 99 (""Sin Localización"")","geometría nula/inválida y fuera de Bogotá; es un bucket administrativo de ""sin ubicar"", no una localidad/UPZ real (verificado en auditoría)",1
IRLoc,reproyección EPSG:4686 -> EPSG:4326,unificar CRS para joins espaciales,20
cestas,filtrar ESTADO==2 (instalada/activa),excluir cestas retiradas/inactivas (ESTADO 99),31332
cestas,reproyección EPSG:3857 -> EPSG:4326,unificar CRS para joins espaciales,69830
contenerizacion,eliminar duplicados exactos por atributos,duplicados confirmados en auditoría,1
contenerizacion,reproyección EPSG:3857 -> EPSG:4326,unificar CRS para joins espaciales,11166
macrorutas_de_barrido,make_valid() sobre geometrías inválidas,geometrías topológicamente inválidas detectadas en auditoría,161
cuadrantepolicia,reproyección EPSG:4686 -> EPSG:4326,unificar CRS para joins espaciales,599
ebom,reproyección EPSG:4686 -> EPSG:4326,unificar CRS para joins espaciales,17
DAILoc,"excluir fila código 99 (""Sin Localización"")","geometría nula/inválida y fuera de Bogotá; es un bucket administrativo de ""sin ubicar"", no una localidad/UPZ real (verificado en auditoría)",1
DAILoc,reproyección EPSG:4686 -> EPSG:4326,unificar CRS para joins espaciales,20
DAILoc,construir homicidios_cont/_total_oficial en paralelo,"CMH*CONT (suma por año) y CMHTOTAL (campo oficial) NO coinciden (4.740 vs 11.445 hallado en sesión previa) — se conservan ambos, sin elegir uno, hasta aclarar semántica con la entidad fuente",20
UAECOB,eliminar duplicados exactos por archivo,"duplicados confirmados en auditoría (58,68,4,3,0 por año)",133
UAECOB,join a UPZ por código numérico embebido en el campo libre (no por nombre de texto),"el campo UPZ trae ""<codigo> <nombre>"" (ej. ""103 LA SABANA""); extraer el código sube el match de 19% (nombre normalizado, método anterior) a 99.2%",165500
RBL,separar 'arrojo_clandestino_punto_limpio_t' y 'total_combinado_t' de las categorías principales,desde 2023 existían dos columnas por concepto que colisionaban al mismo nombre canónico (la segunda sobrescribía a la primera silenciosamente); confirmado en auditoría sobre Bronze/2023/data-set-abril-2023.xlsx,22
Esoc,excluir estrato==0 y fuera de 1-6,"código 0 = ""sin estratificar"" (rural/institucional/en trámite), no es un estrato real",957149
Esoc,NO se construye agregación por localidad/UPZ desde Esoc.csv,"ESoCLote (lote) NO es una llave espacial confiable a localidad/UPZ (el prefijo de 2 dígitos solo coincide con el código oficial de localidad en 6 de 42 grupos derivados, verificado en sesión previa); no existe en los datos disponibles una geometría de lote/predio ni una llave compatible (Predio.PreCManz de 2 dígitos no es compatible con Manz.ManCodigo de 9 dígitos, verificado). RESUELTO por otra fuente: ver 08_normalizacion_estrato_oficial.py (manzanaestratificacion.json, spatial join real).",2031843
manzanaestratificacion,make_valid() sobre geometrías inválidas,geometrías topológicamente inválidas,3
manzanaestratificacion,filtrar ESTRATO entre 1 y 6,excluir manzanas sin estratificar (comercial/industrial/institucional) o con estrato inválido,5110
manzanaestratificacion,reproyección a EPSG:4326,unificar CRS para spatial join,39150
manzanaestratificacion,spatial join (representative_point within) a UPZ y Localidad,"reemplaza el proxy de estrato autorreportado en UAECOB por la fuente oficial real; match 98.5% a UPZ, 100.0% a Localidad",39150
