variable,fuente,transformacion,formula,unidad,unidad_espacial,periodo,supuestos
estrato_promedio_oficial / estrato_modal_oficial,"Bronze/manzanaestratificacion.json (""Estratificación para Bogotá"", Secretaría Distrital de Planeación, datosabiertos.bogota.gov.co)",spatial join (representative_point within) de 39.150 manzanas con ESTRATO válido (1-6) a UPZ/Localidad; agregación mean/mode,"mean(ESTRATO) o mode(ESTRATO) agrupado por cod_upz o cod_localidad, ponderado por manzana (no por área)",estrato (1-6),"UPZ (98.5% cobertura) y Localidad (100% urbana, Sumapaz sin datos)",snapshot 2025-11-20 (fecha de actualización del dataset fuente),"FUENTE OFICIAL, reemplaza al proxy; cada manzana pesa igual sin importar su área o población"
estrato_promedio_reportado,Bronze/incidentes-atendidos-por-uaecob-*.csv (campo ESTRATO),"promedio del estrato autorreportado en incidentes UAECOB, agregado por UPZ/localidad",mean(estrato) agrupado por cod_upz o cod_localidad,estrato (1-6),UPZ y Localidad,"2016-2020 (agregado, sin dimensión anual en el master cross-sectional)","PROXY histórico, se conserva solo para comparación (r=0.96 con el oficial) -- cubre solo zonas con incidentes reportados, sesgo de selección hacia zonas con más actividad de bomberos"
deficit_aseo_relativo,Silver/aseo/cestas.parquet + contenerizacion.parquet,z-score invertido de (densidad_cestas_km2 + densidad_contenedores_km2),-((x - mean(x)) / std(x)),z-score adimensional (relativo a la ciudad),UPZ y Localidad (calculado independientemente en cada nivel),"snapshot actual, sin fecha de instalación confiable","mayor valor = menos infraestructura relativa a la media de la ciudad; NO es un déficit ""absoluto"" ni normativo (no compara contra un estándar oficial de cobertura)"
n_puntos_criticos / densidad_puntos_criticos_km2,Bronze/puntos_criticos_arrojo_clandestino_residuos.geojson,spatial join point-in-polygon (within) a UPZ/Localidad,conteo; densidad = n / area_km2,conteo; conteo/km²,UPZ y Localidad,"snapshot actual (478 puntos, sin fecha)","""Observación""=ACTIVO en el 100% de los registros -- no hay distinción de puntos históricos/resueltos"
n_incidentes_total / densidad_incidentes_km2,Bronze/incidentes-atendidos-por-uaecob-*.csv,"join a UPZ por código numérico extraído del campo libre ""UPZ"" (99.2% de match); conteo agregado",count(); densidad = n / area_km2,conteo; conteo/km²,UPZ (99.2% cobertura) y Localidad (por nombre normalizado),2016-2020,"0.8% de incidentes sin UPZ resoluble (zona rural/fuera de Bogotá/""por definir""), excluidos"
homicidios_cont / homicidios_total_oficial,Bronze/DAILoc.geojson,"CMH*CONT: suma de columnas anuales (CMH18CONT..CMH26CONT). CMHTOTAL: campo oficial del dataset, sin transformar",CONT = sum(CMH{yy}CONT); TOTAL = CMHTOTAL (tal cual),conteo de homicidios,Localidad únicamente (DAILoc no trae UPZ),CONT: 2018-2026 explícito; TOTAL: periodo no documentado por la fuente,"⚠️ CONT (4.740) y TOTAL (11.445) NO coinciden -- causa no determinada, se reportan ambos sin elegir uno"
poblacion_total / poblacion_mujeres / poblacion_0_14,Silver/poblacion/poblacion_upz.parquet (15ª fuente: proyecciones DANE/SDP 2005-2035),agregación de los grupos de edad por sexo; join por código UPZ entero (112/112 de cobertura),suma de columnas Hombres_* y Mujeres_*; niñez = grupos con edad inicial <15,habitantes,UPZ y Localidad,serie 2005-2035; el pipeline usa 2024,"son PROYECCIONES sobre el Censo 2018, no un conteo observado; la fuente UPZ cubre solo Cabecera Municipal (suelo urbano)"
densidad_poblacional_hab_km2,Silver/poblacion/ + Silver/territorio/,cociente directo,poblacion_total / area_km2,hab/km²,UPZ y Localidad,2024,confusor clave: las UPZ de estrato bajo son sistemáticamente más densas (rho=-0.50 con estrato)
cestas_por_1000hab / contenedores_por_1000hab,Silver/aseo/ + Silver/poblacion/,normalización por población en vez de por área,n / poblacion_total * 1000,unidades por 1.000 habitantes,UPZ y Localidad,infraestructura: snapshot actual; población: 2024,⚠️ se calcula solo en UPZ residenciales (>=1000 hab); en parques/aeropuerto el denominador diminuto produce tasas sin sentido
deficit_aseo_percapita,Silver/aseo/ + Silver/poblacion/,z-score invertido de la cobertura conjunta por habitante,-((x - mean(x)) / std(x)) sobre (cestas_por_1000hab + contenedores_por_1000hab),z-score adimensional,UPZ y Localidad,2024,NO es comparable en escala con deficit_aseo_relativo (que se normaliza por km²); la media/std se calculan solo sobre UPZ residenciales
puntos_criticos_por_100milhab / incidentes_por_100milhab / homicidios_por_100milhab,Silver/aseo/ + Silver/emergencias/ + Silver/seguridad/ + Silver/poblacion/,tasas por población,n / poblacion * 1e5,casos por 100.000 habitantes,UPZ (arrojo/incidentes) y Localidad (homicidios),2024 para el denominador,"el numerador es acumulado del periodo de cada fuente, el denominador es un corte de 2024 -- no es una tasa anual estricta"
n_cuadrantes / densidad_cuadrantes_km2,Bronze/cuadrantepolicia.geojson,spatial join intersects (no within) a UPZ/Localidad -- un cuadrante puede cruzar límites administrativos,conteo; densidad = n / area_km2,conteo; conteo/km²,UPZ y Localidad,snapshot actual,suma >100% del total de cuadrantes por diseño (un cuadrante cuenta en cada zona que cruza)
dist_estacion_bomberos_m,Bronze/ebom.geojson (17 estaciones),"distancia euclidiana mínima del centroide UPZ/Localidad a la estación más cercana, EPSG:3116","min(distance(centroide, estacion_i))",metros,UPZ y Localidad,snapshot actual (17 estaciones),"distancia euclidiana, no de red vial -- subestima la distancia real de desplazamiento"
deficit_aseo_relativo (localidad),"igual que UPZ, recalculado sobre n=20","mismo z-score, pero la media/std se calculan sobre las 20 localidades, no las 112 UPZ",-((x - mean_20(x)) / std_20(x)),z-score adimensional,Localidad,snapshot actual,"NO es la misma escala que la versión UPZ -- ""alto déficit"" en localidad no es directamente comparable a ""alto déficit"" en UPZ"
