unidad,var_x,var_y,pearson_r,pearson_p,spearman_rho,spearman_p,n,spearman_p_fdr,sig_tras_fdr
UPZ,estrato_promedio_oficial,estrato_promedio_reportado,0.894,0.0,0.916,0.0,112,0.0,True
UPZ,estrato_promedio_oficial,deficit_aseo_relativo,-0.491,0.0,-0.576,0.0,112,0.0,True
UPZ,estrato_promedio_oficial,densidad_cestas_km2,0.504,0.0,0.594,0.0,112,0.0,True
UPZ,estrato_promedio_oficial,densidad_contenedores_km2,0.038,0.69362,0.127,0.18138,112,0.25635,False
UPZ,estrato_promedio_oficial,densidad_puntos_criticos_km2,-0.293,0.00174,-0.311,0.00085,112,0.00237,True
UPZ,estrato_promedio_oficial,densidad_cuadrantes_km2,-0.091,0.34161,-0.109,0.25339,112,0.3495,False
UPZ,estrato_promedio_oficial,densidad_incidentes_km2,0.006,0.94995,0.087,0.36439,112,0.45549,False
UPZ,estrato_promedio_oficial,dist_estacion_bomberos_m,0.149,0.11568,-0.011,0.91244,112,0.92523,False
UPZ,estrato_promedio_oficial,cobertura_macrorutas_pct,0.112,0.24087,0.127,0.18158,112,0.25635,False
UPZ,estrato_promedio_oficial,deficit_aseo_percapita,-0.292,0.00206,-0.761,0.0,109,0.0,True
UPZ,estrato_promedio_oficial,cestas_por_1000hab,0.279,0.00327,0.687,0.0,109,0.0,True
UPZ,estrato_promedio_oficial,contenedores_por_1000hab,0.325,0.00057,0.309,0.00109,109,0.00297,True
UPZ,estrato_promedio_oficial,puntos_criticos_por_100milhab,-0.111,0.25231,-0.206,0.03185,109,0.05383,False
UPZ,estrato_promedio_oficial,incidentes_por_100milhab,0.062,0.51864,0.5,0.0,109,0.0,True
UPZ,estrato_promedio_oficial,densidad_poblacional_hab_km2,-0.396,2e-05,-0.437,0.0,112,0.0,True
UPZ,estrato_promedio_reportado,deficit_aseo_relativo,-0.451,0.0,-0.49,0.0,112,0.0,True
UPZ,estrato_promedio_reportado,densidad_cestas_km2,0.458,0.0,0.508,0.0,112,0.0,True
UPZ,estrato_promedio_reportado,densidad_contenedores_km2,0.056,0.55871,0.093,0.32836,112,0.42369,False
UPZ,estrato_promedio_reportado,densidad_puntos_criticos_km2,-0.322,0.00053,-0.35,0.00015,112,0.00049,True
UPZ,estrato_promedio_reportado,densidad_cuadrantes_km2,-0.13,0.17343,-0.186,0.04927,112,0.07883,False
UPZ,estrato_promedio_reportado,densidad_incidentes_km2,0.059,0.53882,0.084,0.37723,112,0.46191,False
UPZ,estrato_promedio_reportado,dist_estacion_bomberos_m,0.124,0.19387,0.04,0.67166,112,0.74629,False
UPZ,estrato_promedio_reportado,cobertura_macrorutas_pct,0.213,0.02414,0.189,0.04544,112,0.0747,False
